query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.8200	0.8000	1.0000	1.0000			1.0000
q-002	0.7654	0.6667	0.6667	0.6667			1.0000
q-003	0.5249	1.0000	1.0000	1.0000			0.2500
q-004	0.5801	0.8000	1.0000	1.0000			0.5000
q-005	0.6241	1.0000	1.0000	1.0000			0.5000
q-006	0.8486	1.0000	1.0000	1.0000			1.0000
q-007	0.9060	1.0000	1.0000	1.0000			1.0000
q-008	1.0000	1.0000	1.0000	1.0000			1.0000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.7039	0.6667	1.0000	1.0000			1.0000
