query_id	ndcg10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	oracleNdcg10	orderingLoss	recallLoss	firstGoldRank	recallLimited	goldSurvivesBudget
q-001	0.9044	0.6000	0.5000	1.0000	0.7593	0.6000	0.4637	1.0000	0.0956	0.0000	1	false	1.0000
q-002	0.6714	0.4000	0.2000	0.0000	0.5000	0.3333	0.6976	0.7654	0.0940	0.2346	1	true	1.0000
q-003	0.0000	0.0000	0.0000	0.0000	0.0704	0.0000	0.9927	1.0000	1.0000	0.0000	16	false	
q-004	0.4809	0.4000	0.3000	0.0000	0.4282	0.4000	0.6495	1.0000	0.5191	0.0000	2	false	1.0000
q-005	0.4685	0.2000	0.2000	1.0000	0.2679	0.0000	0.8452	1.0000	0.5315	0.0000	4	false	1.0000
q-006	0.8928	0.6000	0.4000	1.0000	0.7708	0.7500	0.5041	1.0000	0.1072	0.0000	1	false	1.0000
q-007	0.8855	0.6000	0.3000	1.0000	0.7556	0.6667	0.5901	1.0000	0.1145	0.0000	1	false	1.0000
q-008	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
q-009	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
q-010	0.7929	0.2000	0.3000	1.0000	0.5873	0.3333	0.6820	1.0000	0.2071	0.0000	1	false	1.0000
q-011	0.9060	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	1.0000	0.0940	0.0000	1	false	1.0000
q-012	0.8180	0.4000	0.3000	1.0000	0.6333	0.3333	0.6525	1.0000	0.1820	0.0000	1	false	1.0000
q-013	0.4632	0.2000	0.2000	0.0000	0.3278	0.3333	0.7716	1.0000	0.5368	0.0000	2	false	1.0000
q-014	0.7039	0.4000	0.2000	0.0000	0.5556	0.6667	0.6720	0.7654	0.0614	0.2346	1	true	1.0000
q-015	0.0000	0.0000	0.0000	0.0000	0.1224	0.0000	0.9648	1.0000	1.0000	0.0000	11	false	
q-016	0.9197	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	1.0000	0.0803	0.0000	1	false	1.0000
q-017	0.2184	0.0000	0.1000	0.0000	0.1042	0.0000	0.9345	1.0000	0.7816	0.0000	6	false	
q-018	0.6367	0.4000	0.2000	0.0000	0.5635	0.5000	0.6376	1.0000	0.3633	0.0000	1	false	1.0000
q-019	0.0000	0.0000	0.0000	0.0000	0.0319	0.0000	0.9990	0.7654	0.7654	0.2346	25	true	
q-020	0.3869	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400	0.6131	0.2263	0.3869	2	true	1.0000
q-021	0.1301	0.0000	0.1000	0.0000	0.0731	0.0000	0.9431	0.8319	0.7017	0.1681	7	true	
q-022	0.4518	0.2000	0.3000	0.0000	0.3269	0.2500	0.7592	1.0000	0.5482	0.0000	3	false	1.0000
q-023	0.7929	0.2000	0.3000	1.0000	0.5873	0.3333	0.6820	1.0000	0.2071	0.0000	1	false	1.0000
q-024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000		true	
q-025	0.0000	0.0000	0.0000	0.0000	0.0062	0.0000	1.0000	0.6131	0.6131	0.3869	81	true	
q-026	0.4413	0.2000	0.2000	0.0000	0.2748	0.2000	0.7664	0.8688	0.4275	0.1312	1	true	1.0000
q-027	0.0000	0.0000	0.0000	0.0000	0.1507	0.0000	0.9583	1.0000	1.0000	0.0000	11	false	
q-028	0.5274	0.4000	0.3000	0.0000	0.4231	0.2500	0.6842	1.0000	0.4726	0.0000	2	false	1.0000
