query_id	ndcg10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	oracleNdcg10	orderingLoss	recallLoss	firstGoldRank	recallLimited	goldSurvivesBudget
hu-001	0.1128	0.0000	0.1000	0.0000	0.0313	0.0000	0.9732	0.6367	0.5238	0.3633	10	true	
hu-002	0.9469	0.6000	0.3000	1.0000	0.8667	0.6667	0.5581	1.0000	0.0531	0.0000	1	false	1.0000
hu-003	0.7757	0.4000	0.3000	0.0000	0.6250	0.5000	0.5745	0.8319	0.0561	0.1681	1	true	1.0000
hu-004	0.0000	0.0000	0.0000	0.0000	0.0341	0.0000	0.9990	0.8319	0.8319	0.1681	26	true	
hu-005	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	1.0000	0.3904	0.3904	0.6096	89	true	
hu-006	0.3342	0.2000	0.2000	0.0000	0.2041	0.2500	0.8064	1.0000	0.6658	0.0000	3	false	1.0000
hu-007	0.2913	0.2000	0.2000	0.0000	0.2452	0.2500	0.8359	1.0000	0.7087	0.0000	4	false	1.0000
hu-008	0.6548	0.6000	0.3000	0.0000	0.5249	0.6000	0.5693	1.0000	0.3452	0.0000	1	false	1.0000
hu-009	0.3904	0.2000	0.1000	0.0000	0.2749	0.2500	0.7999	0.8319	0.4415	0.1681	1	true	1.0000
hu-010	0.1952	0.2000	0.1000	0.0000	0.1178	0.2500	0.8719	1.0000	0.8048	0.0000	3	false	1.0000
hu-011	0.1846	0.0000	0.1000	0.0000	0.1144	0.0000	0.9608	1.0000	0.8154	0.0000	9	false	
hu-012	0.6552	0.4000	0.3000	0.0000	0.5417	0.4000	0.5954	1.0000	0.3448	0.0000	1	false	1.0000
hu-013	0.2346	0.2000	0.1000	0.0000	0.2212	0.3333	0.8526	1.0000	0.7654	0.0000	3	false	1.0000
hu-014	0.5176	0.4000	0.4000	0.0000	0.4372	0.3333	0.6208	1.0000	0.4824	0.0000	2	false	1.0000
hu-015	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
hu-016	0.6131	0.2000	0.1000	0.0000	0.5769	0.5000	0.7863	1.0000	0.3869	0.0000	1	false	1.0000
hu-017	0.9197	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	1.0000	0.0803	0.0000	1	false	1.0000
hu-018	0.8025	0.6000	0.5000	0.0000	0.6926	0.5000	0.4611	1.0000	0.1975	0.0000	1	false	1.0000
hu-019	0.5531	0.4000	0.2000	0.0000	0.5514	0.4000	0.6083	1.0000	0.4469	0.0000	1	false	1.0000
hu-020	0.8711	0.4000	0.3000	1.0000	0.7222	0.6667	0.6065	1.0000	0.1289	0.0000	1	false	1.0000
hu-021	0.8928	0.6000	0.4000	1.0000	0.7708	0.7500	0.5041	1.0000	0.1072	0.0000	1	false	1.0000
hu-022	0.3591	0.2000	0.2000	0.0000	0.2263	0.2500	0.8122	1.0000	0.6409	0.0000	2	false	1.0000
hu-023	0.2463	0.2000	0.1000	0.0000	0.1391	0.2500	0.8400	0.8319	0.5856	0.1681	2	true	1.0000
hu-024	0.3973	0.4000	0.2000	0.0000	0.2329	0.2500	0.7581	0.8319	0.4346	0.1681	2	true	1.0000
hu-025	0.5110	0.2000	0.2000	1.0000	0.3095	0.0000	0.8196	1.0000	0.4890	0.0000	3	false	1.0000
hu-026	0.1510	0.2000	0.1000	0.0000	0.1137	0.0000	0.9008	0.8319	0.6809	0.1681	5	true	1.0000
hu-027	0.9325	0.4000	0.3000	1.0000	0.8333	0.6667	0.5745	1.0000	0.0675	0.0000	1	false	1.0000
hu-028	0.0000	0.0000	0.0000	0.0000	0.0239	0.0000	0.9997	0.7227	0.7227	0.2773	30	true	
hu-029	0.3462	0.4000	0.2000	0.0000	0.2450	0.2500	0.7865	1.0000	0.6538	0.0000	3	false	1.0000
hu-030	0.5646	0.4000	0.3000	0.0000	0.4239	0.5000	0.6693	1.0000	0.4354	0.0000	2	false	1.0000
hu-031	0.6367	0.4000	0.2000	0.0000	0.5357	0.5000	0.6377	0.8319	0.1952	0.1681	1	true	1.0000
