query_id	ndcg10	recall10	recall100	mrr10
0	0.0000	0.0000	0.0000	0.0000
1	0.0000	0.0000	0.1667	0.0000
2	0.0000	0.0000	0.0000	0.0000
3	0.9197	1.0000	1.0000	1.0000
4	0.4441	1.0000	1.0000	0.1667
5	0.2463	0.2500	0.5000	0.5000
6	0.0000	0.0000	0.0000	0.0000
7	0.6049	0.6667	0.6667	1.0000
8	0.0000	0.0000	0.5000	0.0000
9	0.0000	0.0000	0.1667	0.0000
10	0.7654	0.6667	0.6667	1.0000
11	0.1021	0.2000	0.4000	0.1111
12	0.0000	0.0000	0.5000	0.0000
13	0.3301	0.1538	0.3846	1.0000
14	0.0000	0.0000	0.0000	0.0000
15	0.0000	0.0000	0.0000	0.0000
16	0.0000	0.0000	0.0000	0.0000
17	0.1909	0.1667	0.8333	0.5000
18	0.0000	0.0000	0.0000	0.0000
19	0.3155	1.0000	1.0000	0.1250
20	0.3988	0.6000	0.8000	0.3333
21	0.0000	0.0000	0.3333	0.0000
22	0.0000	0.0000	0.0000	0.0000
23	0.0000	0.0000	0.0000	0.0000
24	0.0000	0.0000	0.6667	0.0000
25	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.0000	1.0000	0.0000
27	0.1952	0.2500	0.2500	0.3333
28	0.3869	1.0000	1.0000	0.2000
29	0.0000	0.0000	0.5000	0.0000
30	0.1909	0.1667	0.5000	0.5000
31	0.0000	0.0000	0.3333	0.0000
32	0.3869	0.5000	0.5000	0.5000
33	0.0000	0.0000	0.5000	0.0000
34	0.0000	0.0000	0.0000	0.0000
35	0.0000	0.0000	0.0000	0.0000
36	0.0000	0.0000	0.0000	0.0000
37	0.0000	0.0000	0.0000	0.0000
38	0.0000	0.0000	0.3333	0.0000
39	0.0000	0.0000	0.0000	0.0000
40	0.0000	0.0000	0.0000	0.0000
41	0.0000	0.0000	0.6667	0.0000
42	0.0000	0.0000	0.0000	0.0000
43	0.0000	0.0000	0.0000	0.0000
44	0.0000	0.0000	0.0000	0.0000
45	0.0000	0.0000	0.0000	0.0000
46	0.0000	0.0000	0.0000	0.0000
47	0.0000	0.0000	0.0000	0.0000
48	0.0000	0.0000	0.0000	0.0000
49	0.0000	0.0000	0.0000	0.0000
50	0.0000	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000	0.0000
52	0.0000	0.0000	0.6667	0.0000
53	0.0000	0.0000	0.0000	0.0000
54	0.1357	0.3333	1.0000	0.1000
55	0.0000	0.0000	0.0000	0.0000
56	0.0000	0.0000	0.0000	0.0000
57	0.1681	0.2500	0.5000	0.2500
58	0.1357	0.3333	0.6667	0.1000
59	0.0000	0.0000	0.0000	0.0000
60	0.0000	0.0000	0.0000	0.0000
61	0.1175	0.2500	0.2500	0.1111
62	0.1815	0.3333	1.0000	0.2000
63	0.0000	0.0000	0.2500	0.0000
64	0.0000	0.0000	0.0000	0.0000
65	0.0000	0.0000	0.1667	0.0000
66	0.2529	0.1250	0.2500	1.0000
67	0.0000	0.0000	0.0000	0.0000
68	0.0000	0.0000	0.0000	0.0000
69	0.0000	0.0000	0.5000	0.0000
70	0.0000	0.0000	0.0000	0.0000
71	0.0000	0.0000	0.2500	0.0000
72	0.4584	0.5000	0.9000	0.5000
73	0.0000	0.0000	0.0000	0.0000
74	0.7877	0.7500	0.7500	1.0000
75	0.0000	0.0000	0.3333	0.0000
76	0.0000	0.0000	0.0000	0.0000
77	0.0000	0.0000	0.0000	0.0000
78	0.6049	0.6667	1.0000	1.0000
79	0.0000	0.0000	0.0000	0.0000
80	0.0000	0.0000	0.5000	0.0000
81	0.0000	0.0000	0.0000	0.0000
82	0.0000	0.0000	0.0000	0.0000
83	0.3869	1.0000	1.0000	0.2000
84	0.3904	0.2500	0.7500	1.0000
85	0.0000	0.0000	0.0000	0.0000
86	0.3026	0.1667	1.0000	1.0000
87	0.0000	0.0000	0.5000	0.0000
88	0.0000	0.0000	0.3333	0.0000
89	0.0000	0.0000	0.3333	0.0000
90	0.0000	0.0000	0.0000	0.0000
91	0.0000	0.0000	0.0000	0.0000
92	0.0000	0.0000	0.5000	0.0000
93	0.0000	0.0000	0.0000	0.0000
94	0.3904	0.2500	0.5000	1.0000
95	0.1934	0.5000	1.0000	0.1250
96	0.1934	0.5000	1.0000	0.1250
97	0.5641	1.0000	1.0000	0.5000
98	0.0000	0.0000	0.5000	0.0000
99	0.0000	0.0000	1.0000	0.0000
100	0.0000	0.0000	0.5000	0.0000
101	0.0000	0.0000	0.0000	0.0000
102	0.0000	0.0000	0.0000	0.0000
