query_id	ndcg10	recall10	recall100	mrr10
1	0.0000	0.0000	0.0000	0.0000
3	0.6309	1.0000	1.0000	0.5000
5	1.0000	1.0000	1.0000	1.0000
13	0.0000	0.0000	0.0000	0.0000
36	0.2044	0.5000	1.0000	0.1429
42	0.6309	1.0000	1.0000	0.5000
48	0.6309	1.0000	1.0000	0.5000
49	0.6309	1.0000	1.0000	0.5000
50	1.0000	1.0000	1.0000	1.0000
51	1.0000	1.0000	1.0000	1.0000
53	1.0000	1.0000	1.0000	1.0000
54	1.0000	1.0000	1.0000	1.0000
56	1.0000	1.0000	1.0000	1.0000
57	1.0000	1.0000	1.0000	1.0000
70	1.0000	1.0000	1.0000	1.0000
72	0.6309	1.0000	1.0000	0.5000
75	0.5000	1.0000	1.0000	0.3333
94	1.0000	1.0000	1.0000	1.0000
99	1.0000	1.0000	1.0000	1.0000
100	1.0000	1.0000	1.0000	1.0000
113	1.0000	1.0000	1.0000	1.0000
115	1.0000	1.0000	1.0000	1.0000
118	1.0000	1.0000	1.0000	1.0000
124	1.0000	1.0000	1.0000	1.0000
127	0.6309	1.0000	1.0000	0.5000
128	0.5000	1.0000	1.0000	0.3333
129	1.0000	1.0000	1.0000	1.0000
130	1.0000	1.0000	1.0000	1.0000
132	0.0000	0.0000	1.0000	0.0000
133	0.1461	0.2000	1.0000	0.2500
137	1.0000	1.0000	1.0000	1.0000
141	0.9197	1.0000	1.0000	1.0000
142	1.0000	1.0000	1.0000	1.0000
143	1.0000	1.0000	1.0000	1.0000
146	1.0000	1.0000	1.0000	1.0000
148	1.0000	1.0000	1.0000	1.0000
163	1.0000	1.0000	1.0000	1.0000
171	1.0000	1.0000	1.0000	1.0000
179	0.6367	0.5000	1.0000	1.0000
180	1.0000	1.0000	1.0000	1.0000
183	0.6309	1.0000	1.0000	0.5000
185	0.5000	1.0000	1.0000	0.3333
198	1.0000	1.0000	1.0000	1.0000
208	1.0000	1.0000	1.0000	1.0000
212	0.2891	1.0000	1.0000	0.1000
213	0.3562	1.0000	1.0000	0.1667
216	1.0000	1.0000	1.0000	1.0000
217	1.0000	1.0000	1.0000	1.0000
218	1.0000	1.0000	1.0000	1.0000
219	1.0000	1.0000	1.0000	1.0000
230	1.0000	1.0000	1.0000	1.0000
232	0.5000	1.0000	1.0000	0.3333
233	1.0000	1.0000	1.0000	1.0000
236	1.0000	1.0000	1.0000	1.0000
237	1.0000	1.0000	1.0000	1.0000
238	0.3010	1.0000	1.0000	0.1111
239	0.0000	0.0000	1.0000	0.0000
248	1.0000	1.0000	1.0000	1.0000
249	1.0000	1.0000	1.0000	1.0000
261	0.3066	0.5000	1.0000	0.3333
268	0.6309	1.0000	1.0000	0.5000
