query_id	ndcg10	recall10	recall100	mrr10
hu-001	0.0000	0.0000	0.2500	0.0000
hu-002	0.0000	0.0000	0.0000	0.0000
hu-003	0.3904	0.2500	0.2500	1.0000
hu-004	0.0000	0.0000	0.5000	0.0000
hu-005	0.0000	0.0000	0.0000	0.0000
hu-006	0.5294	0.5000	0.7500	1.0000
hu-007	0.3764	0.5000	0.7500	0.5000
hu-008	0.2904	0.4000	0.6000	0.3333
hu-009	0.0000	0.0000	0.7500	0.0000
hu-010	0.1952	0.2500	0.2500	0.3333
hu-011	0.0000	0.0000	0.5000	0.0000
hu-012	0.1312	0.2000	0.4000	0.2000
hu-013	0.1480	0.3333	0.6667	0.1250
hu-014	0.1009	0.1667	0.6667	0.1429
hu-015	0.0000	0.0000	0.0000	0.0000
hu-016	0.0000	0.0000	0.0000	0.0000
hu-017	0.3066	0.5000	0.5000	0.3333
hu-018	0.3829	0.5000	0.5000	0.5000
hu-019	0.5087	0.4000	0.6000	1.0000
hu-020	0.4162	0.6667	1.0000	0.3333
hu-021	0.0000	0.0000	0.2500	0.0000
hu-022	0.5079	0.5000	1.0000	1.0000
hu-023	0.1510	0.2500	0.7500	0.2000
hu-024	0.0000	0.0000	0.0000	0.0000
hu-025	0.3066	0.5000	0.5000	0.3333
hu-026	0.1681	0.2500	0.7500	0.2500
hu-027	0.6979	1.0000	1.0000	0.5000
hu-028	0.0000	0.0000	0.6000	0.0000
hu-029	0.3253	0.5000	0.7500	0.3333
hu-030	0.3904	0.2500	0.7500	1.0000
hu-031	0.5856	0.5000	0.7500	1.0000
