query_id	ndcg10	recall10	recall100	mrr10
hu-001	0.0000	0.0000	0.7500	0.0000
hu-002	0.8396	1.0000	1.0000	1.0000
hu-003	0.6984	0.7500	0.7500	1.0000
hu-004	0.0000	0.0000	0.5000	0.0000
hu-005	0.0000	0.0000	0.0000	0.0000
hu-006	0.3127	0.5000	0.7500	0.3333
hu-007	0.2983	0.5000	1.0000	0.2500
hu-008	0.4479	0.6000	1.0000	0.5000
hu-009	0.3904	0.2500	0.7500	1.0000
hu-010	0.2463	0.2500	1.0000	0.5000
hu-011	0.2184	0.5000	1.0000	0.1667
hu-012	0.7629	1.0000	1.0000	0.5000
hu-013	0.5391	1.0000	1.0000	0.3333
hu-014	0.4351	0.6667	1.0000	0.3333
hu-015	1.0000	1.0000	1.0000	1.0000
hu-016	0.8316	1.0000	1.0000	1.0000
hu-017	0.6509	1.0000	1.0000	0.5000
hu-018	0.7662	0.8333	1.0000	1.0000
hu-019	0.7569	0.8000	1.0000	1.0000
hu-020	0.6720	1.0000	1.0000	0.5000
hu-021	0.8118	1.0000	1.0000	1.0000
hu-022	0.4823	0.7500	1.0000	0.5000
hu-023	0.2463	0.2500	0.5000	0.5000
hu-024	0.3904	0.2500	1.0000	1.0000
hu-025	0.4486	1.0000	1.0000	0.2500
hu-026	0.1510	0.2500	0.7500	0.2000
hu-027	0.7039	0.6667	1.0000	1.0000
hu-028	0.0000	0.0000	0.6000	0.0000
hu-029	0.5585	0.5000	0.7500	1.0000
hu-030	0.6367	0.5000	1.0000	1.0000
hu-031	0.5856	0.5000	0.7500	1.0000
