query_id	ndcg10	recall10	recall100	mrr10
0	0.0000	0.0000	0.5000	0.0000
1	0.5000	1.0000	1.0000	0.3333
2	0.0000	0.0000	0.5000	0.0000
3	0.9197	1.0000	1.0000	1.0000
4	1.0000	1.0000	1.0000	1.0000
5	0.9197	1.0000	1.0000	1.0000
6	0.1413	0.3333	0.6667	0.1111
7	1.0000	1.0000	1.0000	1.0000
8	0.0000	0.0000	0.0000	0.0000
9	0.1934	0.5000	1.0000	0.1250
10	0.3869	0.5000	0.5000	0.5000
11	0.2961	0.3333	0.6667	0.5000
12	0.4825	1.0000	1.0000	0.2500
13	0.5585	0.5000	1.0000	1.0000
14	0.2372	0.5000	0.5000	0.2000
15	0.0000	0.0000	0.0000	0.0000
16	0.0000	0.0000	0.0000	0.0000
17	0.2044	0.5000	1.0000	0.1429
18	0.3562	1.0000	1.0000	0.1667
19	0.6309	1.0000	1.0000	0.5000
20	0.8855	1.0000	1.0000	1.0000
21	0.6720	1.0000	1.0000	0.5000
22	0.0000	0.0000	0.0000	0.0000
23	0.0000	0.0000	0.0000	0.0000
24	0.3155	1.0000	1.0000	0.1250
25	0.0000	0.0000	0.0000	0.0000
26	0.6309	1.0000	1.0000	0.5000
27	0.4693	0.3333	0.3333	1.0000
28	1.0000	1.0000	1.0000	1.0000
29	0.3869	1.0000	1.0000	0.2000
30	1.0000	1.0000	1.0000	1.0000
31	0.5000	1.0000	1.0000	0.3333
32	0.1846	0.5000	0.5000	0.1111
33	0.4307	1.0000	1.0000	0.2500
34	0.0000	0.0000	0.0000	0.0000
35	0.0000	0.0000	1.0000	0.0000
36	0.0000	0.0000	0.0000	0.0000
37	0.0000	0.0000	0.0000	0.0000
38	0.3562	1.0000	1.0000	0.1667
39	0.0000	0.0000	1.0000	0.0000
40	0.0000	0.0000	1.0000	0.0000
41	0.3562	1.0000	1.0000	0.1667
42	0.3869	1.0000	1.0000	0.2000
43	0.0000	0.0000	1.0000	0.0000
44	0.0000	0.0000	0.0000	0.0000
45	0.0000	0.0000	0.0000	0.0000
46	0.0000	0.0000	0.0000	0.0000
47	0.0000	0.0000	0.0000	0.0000
48	0.0000	0.0000	0.0000	0.0000
49	0.0000	0.0000	1.0000	0.0000
50	0.0000	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000	0.0000
52	0.0000	0.0000	1.0000	0.0000
53	0.0000	0.0000	0.0000	0.0000
54	0.6309	1.0000	1.0000	0.5000
55	0.0000	0.0000	0.0000	0.0000
56	0.0000	0.0000	0.0000	0.0000
57	1.0000	1.0000	1.0000	1.0000
58	0.4307	1.0000	1.0000	0.2500
59	0.0000	0.0000	0.0000	0.0000
60	0.0000	0.0000	1.0000	0.0000
61	0.6309	1.0000	1.0000	0.5000
62	0.3869	1.0000	1.0000	0.2000
63	0.5000	1.0000	1.0000	0.3333
64	0.3562	1.0000	1.0000	0.1667
65	0.3869	0.5000	0.5000	0.5000
66	1.0000	1.0000	1.0000	1.0000
67	0.0000	0.0000	0.0000	0.0000
68	0.0000	0.0000	0.0000	0.0000
69	0.3869	1.0000	1.0000	0.2000
70	0.0000	0.0000	1.0000	0.0000
71	0.3869	1.0000	1.0000	0.2000
72	0.5110	1.0000	1.0000	0.3333
73	0.0000	0.0000	0.0000	0.0000
74	1.0000	1.0000	1.0000	1.0000
75	0.3010	1.0000	1.0000	0.1111
76	0.0000	0.0000	0.0000	0.0000
77	0.0000	0.0000	0.0000	0.0000
78	1.0000	1.0000	1.0000	1.0000
79	0.0000	0.0000	1.0000	0.0000
80	0.0000	0.0000	1.0000	0.0000
81	0.0000	0.0000	0.0000	0.0000
82	0.0000	0.0000	0.0000	0.0000
83	0.5000	1.0000	1.0000	0.3333
84	1.0000	1.0000	1.0000	1.0000
85	0.0000	0.0000	1.0000	0.0000
86	0.3333	1.0000	1.0000	0.1429
87	0.3333	1.0000	1.0000	0.1429
88	0.0000	0.0000	1.0000	0.0000
89	0.0000	0.0000	0.0000	0.0000
90	0.0000	0.0000	1.0000	0.0000
91	0.0000	0.0000	1.0000	0.0000
92	1.0000	1.0000	1.0000	1.0000
93	0.3333	1.0000	1.0000	0.1429
94	1.0000	1.0000	1.0000	1.0000
95	0.6309	1.0000	1.0000	0.5000
96	0.3155	1.0000	1.0000	0.1250
97	1.0000	1.0000	1.0000	1.0000
98	0.3562	1.0000	1.0000	0.1667
99	0.0000	0.0000	1.0000	0.0000
100	0.5000	1.0000	1.0000	0.3333
101	0.6309	1.0000	1.0000	0.5000
102	0.0000	0.0000	0.0000	0.0000
