query_id	ndcg10	recall10	recall100	mrr10
0	0.0000	0.0000	0.0000	0.0000
1	0.6131	0.5000	0.5000	1.0000
2	0.6309	1.0000	1.0000	0.5000
3	0.0000	0.0000	0.0000	0.0000
4	0.0000	0.0000	1.0000	0.0000
5	0.0000	0.0000	1.0000	0.0000
6	0.3869	1.0000	1.0000	0.2000
7	0.0000	0.0000	1.0000	0.0000
8	0.0000	0.0000	1.0000	0.0000
9	0.4307	1.0000	1.0000	0.2500
10	0.0000	0.0000	0.0000	0.0000
11	0.0000	0.0000	0.0000	0.0000
12	0.0000	0.0000	1.0000	0.0000
13	0.3270	0.4000	0.6000	0.5000
14	0.6309	1.0000	1.0000	0.5000
15	0.0000	0.0000	0.0000	0.0000
16	0.1934	0.5000	0.5000	0.1250
17	0.0000	0.0000	0.0000	0.0000
18	0.6309	1.0000	1.0000	0.5000
19	1.0000	1.0000	1.0000	1.0000
20	0.0000	0.0000	0.0000	0.0000
21	0.0000	0.0000	0.0000	0.0000
22	0.0000	0.0000	0.0000	0.0000
23	0.3333	1.0000	1.0000	0.1429
24	0.0000	0.0000	0.0000	0.0000
25	0.6509	1.0000	1.0000	0.5000
26	0.0000	0.0000	0.0000	0.0000
27	0.0000	0.0000	0.0000	0.0000
28	0.0000	0.0000	0.0000	0.0000
29	0.0000	0.0000	0.5000	0.0000
30	1.0000	1.0000	1.0000	1.0000
31	0.3562	1.0000	1.0000	0.1667
32	0.0000	0.0000	0.0000	0.0000
33	0.0000	0.0000	0.0000	0.0000
34	0.0000	0.0000	1.0000	0.0000
35	0.3869	1.0000	1.0000	0.2000
36	0.0000	0.0000	0.0000	0.0000
37	0.0000	0.0000	1.0000	0.0000
38	0.3562	1.0000	1.0000	0.1667
39	0.0000	0.0000	1.0000	0.0000
40	1.0000	1.0000	1.0000	1.0000
41	0.4228	1.0000	1.0000	0.1667
42	0.4307	1.0000	1.0000	0.2500
43	0.3562	1.0000	1.0000	0.1667
44	0.0000	0.0000	0.0000	0.0000
45	0.3066	0.5000	1.0000	0.3333
46	0.3155	1.0000	1.0000	0.1250
47	0.0000	0.0000	0.0000	0.0000
48	0.0000	0.0000	1.0000	0.0000
49	0.0000	0.0000	0.0000	0.0000
50	0.3155	1.0000	1.0000	0.1250
51	1.0000	1.0000	1.0000	1.0000
52	0.0000	0.0000	1.0000	0.0000
53	0.5000	1.0000	1.0000	0.3333
54	0.0000	0.0000	0.0000	0.0000
55	0.0000	0.0000	0.0000	0.0000
56	0.0000	0.0000	0.0000	0.0000
57	0.5000	1.0000	1.0000	0.3333
58	0.0000	0.0000	0.0000	0.0000
59	0.5000	1.0000	1.0000	0.3333
60	0.0000	0.0000	0.0000	0.0000
61	1.0000	1.0000	1.0000	1.0000
62	0.0000	0.0000	0.0000	0.0000
63	0.0000	0.0000	0.0000	0.0000
64	0.3869	1.0000	1.0000	0.2000
65	0.3562	1.0000	1.0000	0.1667
66	0.0000	0.0000	0.0000	0.0000
67	0.3333	1.0000	1.0000	0.1429
68	0.5000	1.0000	1.0000	0.3333
69	1.0000	1.0000	1.0000	1.0000
70	0.0000	0.0000	0.0000	0.0000
71	0.4307	1.0000	1.0000	0.2500
72	0.6309	1.0000	1.0000	0.5000
73	0.0000	0.0000	1.0000	0.0000
74	0.3333	1.0000	1.0000	0.1429
75	0.0000	0.0000	0.0000	0.0000
76	0.0000	0.0000	1.0000	0.0000
77	0.0000	0.0000	0.0000	0.0000
78	0.0000	0.0000	0.0000	0.0000
79	0.6309	1.0000	1.0000	0.5000
80	0.0000	0.0000	1.0000	0.0000
81	1.0000	1.0000	1.0000	1.0000
82	0.5000	1.0000	1.0000	0.3333
83	0.0000	0.0000	0.0000	0.0000
84	1.0000	1.0000	1.0000	1.0000
85	0.0000	0.0000	0.0000	0.0000
86	1.0000	1.0000	1.0000	1.0000
87	0.5000	1.0000	1.0000	0.3333
88	0.0000	0.0000	0.0000	0.0000
89	0.0000	0.0000	0.0000	0.0000
90	0.0000	0.0000	1.0000	0.0000
91	0.5000	1.0000	1.0000	0.3333
92	0.0000	0.0000	0.0000	0.0000
93	0.0000	0.0000	0.0000	0.0000
94	0.0000	0.0000	1.0000	0.0000
95	0.3562	1.0000	1.0000	0.1667
96	0.0000	0.0000	1.0000	0.0000
97	0.0000	0.0000	0.0000	0.0000
98	0.0000	0.0000	0.0000	0.0000
99	0.0000	0.0000	1.0000	0.0000
100	0.0000	0.0000	0.0000	0.0000
