query_id	ndcg10	recall10	recall100	mrr10
0	0.2372	0.5000	1.0000	0.2000
1	0.0000	0.0000	1.0000	0.0000
2	0.3066	0.5000	1.0000	0.3333
3	0.7227	0.6000	1.0000	1.0000
4	0.0000	0.0000	0.0000	0.0000
5	0.1934	0.5000	1.0000	0.1250
6	0.5856	0.5000	1.0000	1.0000
7	0.6309	1.0000	1.0000	0.5000
8	0.0000	0.0000	0.0000	0.0000
9	0.0000	0.0000	0.0000	0.0000
10	0.0000	0.0000	1.0000	0.0000
11	0.0000	0.0000	1.0000	0.0000
12	0.0000	0.0000	0.0000	0.0000
13	0.2891	1.0000	1.0000	0.1000
14	0.0000	0.0000	0.0000	0.0000
15	0.5000	1.0000	1.0000	0.3333
16	1.0000	1.0000	1.0000	1.0000
17	0.0000	0.0000	0.5000	0.0000
18	0.0000	0.0000	0.0000	0.0000
19	1.0000	1.0000	1.0000	1.0000
20	0.3010	1.0000	1.0000	0.1111
21	0.0000	0.0000	0.0000	0.0000
22	0.3978	1.0000	1.0000	0.1429
23	1.0000	1.0000	1.0000	1.0000
24	0.3333	1.0000	1.0000	0.1429
25	0.0000	0.0000	0.0000	0.0000
26	0.6309	1.0000	1.0000	0.5000
27	0.3869	1.0000	1.0000	0.2000
28	0.0000	0.0000	1.0000	0.0000
29	0.0000	0.0000	0.0000	0.0000
30	1.0000	1.0000	1.0000	1.0000
31	1.0000	1.0000	1.0000	1.0000
32	0.6309	1.0000	1.0000	0.5000
33	1.0000	1.0000	1.0000	1.0000
34	0.0000	0.0000	0.0000	0.0000
35	0.3869	1.0000	1.0000	0.2000
36	0.0000	0.0000	1.0000	0.0000
37	0.0000	0.0000	0.0000	0.0000
38	0.6131	0.5000	0.5000	1.0000
39	1.0000	1.0000	1.0000	1.0000
40	0.6309	1.0000	1.0000	0.5000
41	0.2641	0.5000	1.0000	0.2500
42	0.3562	1.0000	1.0000	0.1667
43	0.6309	1.0000	1.0000	0.5000
44	0.5000	1.0000	1.0000	0.3333
45	0.6309	1.0000	1.0000	0.5000
46	0.3333	1.0000	1.0000	0.1429
47	0.0000	0.0000	0.0000	0.0000
48	0.3010	1.0000	1.0000	0.1111
49	0.3869	1.0000	1.0000	0.2000
50	0.3333	1.0000	1.0000	0.1429
51	1.0000	1.0000	1.0000	1.0000
52	0.6979	1.0000	1.0000	0.5000
53	0.0000	0.0000	0.0000	0.0000
54	0.5000	1.0000	1.0000	0.3333
55	0.7977	1.0000	1.0000	1.0000
56	1.0000	1.0000	1.0000	1.0000
57	0.6309	1.0000	1.0000	0.5000
58	1.0000	1.0000	1.0000	1.0000
59	0.0000	0.0000	0.0000	0.0000
60	0.4218	1.0000	1.0000	0.2000
61	0.4307	1.0000	1.0000	0.2500
62	0.0000	0.0000	0.0000	0.0000
63	1.0000	1.0000	1.0000	1.0000
64	0.0000	0.0000	0.0000	0.0000
65	0.6309	1.0000	1.0000	0.5000
66	0.3333	1.0000	1.0000	0.1429
67	0.4307	1.0000	1.0000	0.2500
68	0.0000	0.0000	1.0000	0.0000
69	0.4307	1.0000	1.0000	0.2500
70	1.0000	1.0000	1.0000	1.0000
71	0.5000	1.0000	1.0000	0.3333
72	0.6309	1.0000	1.0000	0.5000
73	0.3333	1.0000	1.0000	0.1429
74	0.0000	0.0000	0.0000	0.0000
75	0.0000	0.0000	0.0000	0.0000
76	0.3869	1.0000	1.0000	0.2000
77	0.5000	1.0000	1.0000	0.3333
78	0.5000	1.0000	1.0000	0.3333
79	0.0000	0.0000	1.0000	0.0000
80	0.0000	0.0000	0.0000	0.0000
81	0.0000	0.0000	1.0000	0.0000
82	1.0000	1.0000	1.0000	1.0000
83	0.3155	1.0000	1.0000	0.1250
84	0.6309	1.0000	1.0000	0.5000
85	0.5000	1.0000	1.0000	0.3333
86	0.4307	1.0000	1.0000	0.2500
87	1.0000	1.0000	1.0000	1.0000
88	0.3155	1.0000	1.0000	0.1250
89	0.0000	0.0000	0.0000	0.0000
90	0.3562	1.0000	1.0000	0.1667
91	0.0000	0.0000	0.0000	0.0000
92	0.0000	0.0000	1.0000	0.0000
93	0.0000	0.0000	0.0000	0.0000
94	0.0000	0.0000	1.0000	0.0000
95	0.6309	1.0000	1.0000	0.5000
96	0.4307	1.0000	1.0000	0.2500
97	0.0000	0.0000	0.0000	0.0000
98	0.0000	0.0000	1.0000	0.0000
99	0.3562	1.0000	1.0000	0.1667
100	0.0000	0.0000	1.0000	0.0000
101	1.0000	1.0000	1.0000	1.0000
102	0.3562	1.0000	1.0000	0.1667
103	1.0000	1.0000	1.0000	1.0000
104	0.0000	0.0000	1.0000	0.0000
105	0.5000	1.0000	1.0000	0.3333
106	0.0000	0.0000	1.0000	0.0000
107	0.0000	0.0000	1.0000	0.0000
