query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.9044	1.0000	1.0000	1.0000			1.0000
q-002	0.6714	0.6667	0.6667	0.6667			1.0000
q-003	0.0000	0.0000	0.3333	1.0000			0.0000
q-004	0.4809	0.6000	1.0000	1.0000			0.5000
q-005	0.4685	1.0000	1.0000	1.0000			0.2500
q-006	0.8928	1.0000	1.0000	1.0000			1.0000
q-007	0.8855	1.0000	1.0000	1.0000			1.0000
q-008	1.0000	1.0000	1.0000	1.0000			1.0000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.7737	1.0000	1.0000	1.0000			1.0000
q-011	0.2021	0.3333	0.3333	0.6667			0.2500
q-012	0.4457	1.0000	1.0000	1.0000			0.1429
q-013	0.4162	0.6667	1.0000	1.0000			0.3333
q-014	0.1815	0.3333	0.3333	1.0000			0.2000
q-015	0.6131	0.5000	1.0000	1.0000			1.0000
q-016	0.9197	1.0000	1.0000	1.0000			1.0000
q-017	0.2184	0.5000	0.5000	1.0000			0.1667
q-018	0.0000	0.0000	0.0000	1.0000			0.0000
q-019	0.1480	0.3333	0.3333	0.6667			0.1250
q-020	0.3869	0.5000	0.5000	0.5000			0.5000
q-021	0.0000	0.0000	0.0000	0.7500			0.0000
q-022	0.4303	0.7500	1.0000	1.0000			0.2500
q-023	0.1413	0.3333	1.0000	1.0000			0.1111
q-024	0.0000	0.0000	0.0000	0.0000			0.0000
q-025	0.0000	0.0000	0.0000	0.5000			0.0000
q-026	0.4413	0.4000	0.4000	0.8000			1.0000
q-027	0.0000	0.0000	1.0000	1.0000			0.0000
q-028	0.5274	0.7500	1.0000	1.0000			0.5000
q-029	0.2463	0.2500	0.5000	0.7500			0.5000
q-030	1.0000	1.0000	1.0000	1.0000			1.0000
q-031	0.9178	1.0000	1.0000	1.0000			1.0000
q-032	0.3869	0.5000	0.5000	1.0000			0.5000
q-033	0.4982	0.6667	0.6667	1.0000			0.5000
q-034	0.3333	1.0000	1.0000	1.0000			0.1429
q-035	0.3333	1.0000	1.0000	1.0000			0.1429
q-036	0.5110	1.0000	1.0000	1.0000			0.3333
q-037	0.6131	0.5000	1.0000	1.0000			1.0000
q-038	0.6173	0.6667	1.0000	1.0000			1.0000
q-039	0.1815	0.3333	0.3333	1.0000			0.2000
q-040	0.6309	1.0000	1.0000	1.0000			0.5000
q-041	0.3836	0.6667	0.6667	1.0000			0.2500
q-042	0.4632	0.6667	1.0000	1.0000			0.5000
q-043	0.4693	0.3333	0.6667	1.0000			1.0000
q-044	0.4693	0.3333	0.6667	1.0000			1.0000
q-045	0.4877	0.8000	0.8000	1.0000			0.3333
q-046	0.2312	0.3333	0.3333	0.8333			0.2500
q-047	0.1990	0.2500	0.5000	1.0000			0.2500
q-048	0.3664	0.3750	0.3750	0.8750			0.5000
q-049	0.9747	1.0000	1.0000	1.0000			1.0000
q-050	0.2685	0.2500	0.5000	0.8750			0.5000
q-051	0.1546	0.1429	0.1429	0.4286			0.2000
q-052	0.0000	0.0000	0.0000	1.0000			0.0000
q-053	0.0901	0.1250	0.2500	0.3750			0.1667
q-054	0.4144	1.0000	1.0000	1.0000			0.2000
q-055	0.2918	0.3333	0.3333	1.0000			0.5000
q-056	0.2032	0.0938	0.2813	0.9688			0.1429
q-057	0.2462	0.0536	0.0893	0.2143			0.2500
q-058	0.2906	0.1250	0.2500	0.4167			0.5000
q-059	0.4833	0.1389	0.1944	0.6944			0.5000
q-060	0.4833	0.1389	0.1944	0.6944			0.5000
