query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.1952	0.2500	0.5000	1.0000	1.0000	1.0000	0.3333
hu-002	0.9469	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-003	0.7668	0.7500	1.0000	1.0000	1.0000	1.0000	1.0000
hu-004	0.1301	0.2500	0.2500	1.0000	1.0000	1.0000	0.1429
hu-005	0.8048	0.7500	0.7500	1.0000	1.0000	1.0000	1.0000
hu-006	0.1301	0.2500	0.7500	1.0000	1.0000	1.0000	0.1429
hu-007	0.3973	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000
hu-008	0.7528	0.8000	0.8000	1.0000	1.0000	1.0000	1.0000
hu-009	0.8597	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-010	0.0000	0.0000	0.2500	1.0000	1.0000	1.0000	0.0000
hu-011	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-012	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-013	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-014	0.7634	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
hu-015	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-016	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-017	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-018	0.9448	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-019	0.9416	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-020	0.8520	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-021	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-022	0.6817	0.7500	0.7500	1.0000	1.0000	1.0000	1.0000
hu-023	0.7487	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
hu-024	0.5135	0.5000	0.7500	1.0000	1.0000	1.0000	1.0000
hu-025	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-026	0.7495	0.7500	0.7500	0.7500	1.0000	1.0000	1.0000
hu-027	0.7328	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
hu-028	0.5531	0.4000	0.8000	1.0000	1.0000	1.0000	1.0000
hu-029	0.9829	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hu-030	0.6199	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333
hu-031	0.4853	0.7500	1.0000	1.0000	1.0000	1.0000	0.3333
