query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
0	1.0000	1.0000	1.0000	1.0000			1.0000
1	1.0000	1.0000	1.0000	1.0000			1.0000
2	0.2891	1.0000	1.0000	1.0000			0.1000
3	0.3869	0.5000	0.5000	1.0000			0.5000
4	0.5000	1.0000	1.0000	1.0000			0.3333
5	0.1934	0.5000	0.5000	1.0000			0.1250
6	1.0000	1.0000	1.0000	1.0000			1.0000
7	0.2891	1.0000	1.0000	1.0000			0.1000
8	0.6309	1.0000	1.0000	1.0000			0.5000
9	0.3501	0.6667	0.6667	0.6667			0.2500
10	0.2044	0.5000	0.5000	0.5000			0.1429
11	0.5000	1.0000	1.0000	1.0000			0.3333
12	0.5000	1.0000	1.0000	1.0000			0.3333
13	0.4486	1.0000	1.0000	1.0000			0.2500
14	0.0000	0.0000	0.0000	0.0000			0.0000
15	0.4307	1.0000	1.0000	1.0000			0.2500
16	0.0000	0.0000	0.3333	0.6667			0.0000
17	0.0000	0.0000	0.5000	0.5000			0.0000
18	0.5000	1.0000	1.0000	1.0000			0.3333
19	1.0000	1.0000	1.0000	1.0000			1.0000
20	0.5307	0.6667	1.0000	1.0000			0.5000
21	0.3562	1.0000	1.0000	1.0000			0.1667
22	0.0000	0.0000	0.0000	0.5000			0.0000
23	0.0000	0.0000	0.0000	0.0000			0.0000
24	1.0000	1.0000	1.0000	1.0000			1.0000
25	0.0000	0.0000	1.0000	1.0000			0.0000
26	0.2641	0.5000	1.0000	1.0000			0.2500
27	0.5498	1.0000	1.0000	1.0000			0.3333
28	0.0000	0.0000	0.3333	1.0000			0.0000
29	0.0000	0.0000	0.0000	0.6667			0.0000
30	0.3045	0.6667	0.6667	0.6667			0.1429
31	0.4307	1.0000	1.0000	1.0000			0.2500
32	0.0000	0.0000	0.0000	0.0000			0.0000
33	1.0000	1.0000	1.0000	1.0000			1.0000
34	0.0000	0.0000	0.5000	1.0000			0.0000
35	0.6714	0.6667	0.6667	1.0000			1.0000
36	0.6309	1.0000	1.0000	1.0000			0.5000
37	0.1232	0.2500	0.2500	1.0000			0.1250
38	0.0000	0.0000	0.0000	1.0000			0.0000
39	0.5000	1.0000	1.0000	1.0000			0.3333
40	0.0000	0.0000	0.0000	0.0000			0.0000
41	0.1846	0.5000	0.5000	0.5000			0.1111
42	0.1934	0.5000	0.5000	0.5000			0.1250
43	0.3333	1.0000	1.0000	1.0000			0.1429
44	0.6309	1.0000	1.0000	1.0000			0.5000
45	0.2372	0.5000	0.5000	1.0000			0.2000
46	0.5013	1.0000	1.0000	1.0000			0.2500
47	1.0000	1.0000	1.0000	1.0000			1.0000
48	0.0000	0.0000	0.0000	0.0000			0.0000
49	0.4307	1.0000	1.0000	1.0000			0.2500
50	0.5000	1.0000	1.0000	1.0000			0.3333
51	0.6309	1.0000	1.0000	1.0000			0.5000
52	0.0000	0.0000	0.0000	0.0000			0.0000
53	1.0000	1.0000	1.0000	1.0000			1.0000
54	1.0000	1.0000	1.0000	1.0000			1.0000
55	0.0000	0.0000	0.0000	1.0000			0.0000
56	0.2184	0.5000	1.0000	1.0000			0.1667
57	0.3869	0.5000	0.5000	0.5000			0.5000
58	0.0000	0.0000	0.0000	1.0000			0.0000
59	1.0000	1.0000	1.0000	1.0000			1.0000
60	0.0000	0.0000	0.0000	0.0000			0.0000
61	0.0000	0.0000	0.5000	0.5000			0.0000
62	1.0000	1.0000	1.0000	1.0000			1.0000
63	0.2021	0.3333	0.3333	0.3333			0.2500
64	0.3155	1.0000	1.0000	1.0000			0.1250
65	1.0000	1.0000	1.0000	1.0000			1.0000
66	0.2891	1.0000	1.0000	1.0000			0.1000
67	0.7654	0.6667	0.6667	1.0000			1.0000
68	0.2346	0.3333	0.6667	0.6667			0.3333
69	0.0000	0.0000	0.0000	0.5000			0.0000
70	1.0000	1.0000	1.0000	1.0000			1.0000
71	1.0000	1.0000	1.0000	1.0000			1.0000
72	1.0000	1.0000	1.0000	1.0000			1.0000
73	0.0000	0.0000	0.0000	0.0000			0.0000
74	1.0000	1.0000	1.0000	1.0000			1.0000
75	1.0000	1.0000	1.0000	1.0000			1.0000
76	0.6309	1.0000	1.0000	1.0000			0.5000
77	0.0000	0.0000	0.0000	1.0000			0.0000
78	0.3869	0.5000	0.5000	0.5000			0.5000
79	0.0000	0.0000	0.0000	0.0000			0.0000
80	0.1772	0.5000	0.5000	0.5000			0.1000
81	1.0000	1.0000	1.0000	1.0000			1.0000
82	0.2044	0.5000	1.0000	1.0000			0.1429
83	0.8772	1.0000	1.0000	1.0000			1.0000
84	0.0000	0.0000	0.0000	1.0000			0.0000
85	0.1772	0.5000	0.5000	0.5000			0.1000
86	0.5000	1.0000	1.0000	1.0000			0.3333
87	1.0000	1.0000	1.0000	1.0000			1.0000
88	0.0000	0.0000	1.0000	1.0000			0.0000
