query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
0	0.2891	1.0000	1.0000	1.0000			0.1000
1	0.0000	0.0000	1.0000	1.0000			0.0000
2	0.3010	1.0000	1.0000	1.0000			0.1111
3	1.0000	1.0000	1.0000	1.0000			1.0000
4	0.0000	0.0000	0.0000	0.0000			0.0000
5	0.0000	0.0000	0.0000	0.0000			0.0000
6	0.0000	0.0000	0.0000	0.0000			0.0000
7	0.3562	1.0000	1.0000	1.0000			0.1667
8	0.5000	1.0000	1.0000	1.0000			0.3333
9	0.0000	0.0000	0.0000	0.0000			0.0000
10	1.0000	1.0000	1.0000	1.0000			1.0000
11	0.0000	0.0000	0.0000	0.0000			0.0000
12	0.3562	1.0000	1.0000	1.0000			0.1667
13	0.6309	1.0000	1.0000	1.0000			0.5000
14	0.0000	0.0000	0.0000	0.0000			0.0000
15	0.4307	1.0000	1.0000	1.0000			0.2500
16	0.0000	0.0000	0.0000	0.0000			0.0000
17	0.6309	1.0000	1.0000	1.0000			0.5000
18	1.0000	1.0000	1.0000	1.0000			1.0000
19	0.0000	0.0000	0.0000	1.0000			0.0000
20	0.6309	1.0000	1.0000	1.0000			0.5000
21	1.0000	1.0000	1.0000	1.0000			1.0000
22	0.6309	1.0000	1.0000	1.0000			0.5000
23	0.0000	0.0000	0.0000	0.0000			0.0000
24	0.0000	0.0000	0.0000	1.0000			0.0000
25	1.0000	1.0000	1.0000	1.0000			1.0000
26	1.0000	1.0000	1.0000	1.0000			1.0000
27	0.6309	1.0000	1.0000	1.0000			0.5000
28	1.0000	1.0000	1.0000	1.0000			1.0000
29	0.5000	1.0000	1.0000	1.0000			0.3333
30	0.4307	1.0000	1.0000	1.0000			0.2500
31	0.0000	0.0000	1.0000	1.0000			0.0000
32	0.6309	1.0000	1.0000	1.0000			0.5000
33	1.0000	1.0000	1.0000	1.0000			1.0000
34	0.0000	0.0000	1.0000	1.0000			0.0000
35	0.0000	0.0000	0.0000	0.0000			0.0000
36	0.0000	0.0000	0.0000	0.0000			0.0000
37	0.0000	0.0000	0.0000	0.0000			0.0000
38	0.3562	1.0000	1.0000	1.0000			0.1667
39	0.3562	1.0000	1.0000	1.0000			0.1667
40	0.0000	0.0000	0.0000	0.0000			0.0000
