query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
0	0.4600	0.4000	0.6000	0.8000			1.0000
1	0.2152	0.4000	0.4000	0.6000			0.1429
2	0.0000	0.0000	0.2500	0.7500			0.0000
3	0.2758	0.3000	0.6000	0.7000			0.5000
4	0.3812	0.2857	0.5714	0.7143			1.0000
5	0.3258	0.3750	0.5000	0.8750			0.5000
6	0.0911	0.1667	0.3333	0.8333			0.1111
7	0.4451	0.4545	0.7273	1.0000			0.5000
8	0.3085	0.4286	0.5714	1.0000			0.3333
9	0.3379	0.5000	0.6667	0.8333			0.3333
10	0.2087	0.3333	0.3333	0.8333			0.1667
11	0.4500	0.5000	0.5000	0.8333			0.5000
12	0.0000	0.0000	0.0000	0.2000			0.0000
13	0.0761	0.1250	0.2500	0.6250			0.1111
14	0.2935	0.1667	0.5000	0.5833			1.0000
15	0.0741	0.1111	0.5556	1.0000			0.1250
16	0.1518	0.1667	0.4167	0.8333			0.1667
17	0.1303	0.1667	0.3333	0.5000			0.2500
18	0.2278	0.4000	0.6000	0.8000			0.1667
19	0.1208	0.2000	0.2000	0.8000			0.1667
20	0.6715	0.7500	0.7500	1.0000			1.0000
21	0.0000	0.0000	0.1667	0.5000			0.0000
22	0.1822	0.2500	0.3750	0.8750			0.2000
23	0.0795	0.1429	0.2857	0.7143			0.1000
24	0.0851	0.0909	0.1818	0.5455			0.2000
25	0.0000	0.0000	0.2000	0.6000			0.0000
26	0.1952	0.2500	0.5000	1.0000			0.3333
27	0.2042	0.2857	0.4286	0.7143			0.2000
28	0.2574	0.2500	0.5000	0.6250			0.5000
29	0.1461	0.2000	0.2000	0.6000			0.2500
30	0.0798	0.1250	0.1250	0.6250			0.1250
31	0.2042	0.2857	0.2857	0.8571			0.2000
32	0.2108	0.2500	0.5000	0.8750			0.3333
33	0.3971	0.3333	0.5556	0.6667			1.0000
34	0.0000	0.0000	0.0000	1.0000			0.0000
35	0.1021	0.2000	0.4000	1.0000			0.1111
36	0.1131	0.2000	0.2000	0.8000			0.1429
37	0.2495	0.2222	0.3333	0.6667			0.5000
38	0.2533	0.5000	0.5000	0.7500			0.1429
39	0.4462	0.4000	0.6000	0.8000			1.0000
40	0.3430	0.2500	0.3750	0.8750			1.0000
41	0.2530	0.3333	0.6667	0.6667			0.2000
42	0.4520	0.3750	0.5000	0.8750			1.0000
43	0.3072	0.3333	0.4444	0.4444			0.5000
44	0.0000	0.0000	0.0000	0.5000			0.0000
45	0.3026	0.1667	0.1667	0.8333			1.0000
46	0.1070	0.2000	0.4000	0.8000			0.1250
47	0.7654	0.6667	0.6667	0.6667			1.0000
48	0.1545	0.2222	0.2222	0.7778			0.1667
49	0.0979	0.1250	0.1250	0.6250			0.2000
50	0.1208	0.2000	0.2000	0.8000			0.1667
51	0.3904	0.2500	0.2500	0.7500			1.0000
52	0.1605	0.2500	0.5000	0.7500			0.1429
53	0.0000	0.0000	0.1250	0.5000			0.0000
54	0.2266	0.2222	0.3333	0.6667			0.5000
55	0.0000	0.0000	0.2000	0.6000			0.0000
56	0.1009	0.1667	0.3333	0.6667			0.1429
57	0.0000	0.0000	0.0000	0.8000			0.0000
58	0.1952	0.2500	0.5000	1.0000			0.3333
59	0.5000	1.0000	1.0000	1.0000			0.3333
60	0.0000	0.0000	0.2000	0.8000			0.0000
61	0.2985	0.2000	0.4000	0.6000			1.0000
62	0.0000	0.0000	0.0000	0.2500			0.0000
63	0.3894	0.5000	0.8333	0.8333			0.3333
64	0.0000	0.0000	0.3333	0.8333			0.0000
65	0.3629	0.4444	0.4444	0.6667			0.3333
66	0.0909	0.1111	0.3333	0.6667			0.2000
67	0.3348	0.4000	0.6000	1.0000			0.5000
68	0.0000	0.0000	0.3333	0.6667			0.0000
69	0.3392	0.2000	0.4000	0.6000			1.0000
70	0.1303	0.1667	0.3333	1.0000			0.2500
71	0.3875	0.5000	0.6250	0.7500			0.3333
72	0.4284	0.4000	0.4000	0.6000			1.0000
73	0.0000	0.0000	0.0000	0.5556			0.0000
74	0.2558	0.2857	0.2857	0.7143			0.3333
75	0.0000	0.0000	0.2857	0.5714			0.0000
76	0.3670	0.3333	0.3333	0.6667			0.5000
77	0.0000	0.0000	0.3333	0.6667			0.0000
78	0.2438	0.2857	0.4286	0.7143			0.3333
79	0.0000	0.0000	0.1250	0.7500			0.0000
80	0.3269	0.5000	0.6250	0.8750			0.2000
81	0.2749	0.1429	0.1429	0.7143			1.0000
82	0.1070	0.2000	0.4000	0.8000			0.1250
83	0.0955	0.1667	0.3333	0.6667			0.1250
84	0.1617	0.2222	0.4444	0.6667			0.2000
85	0.3392	0.2000	0.4000	0.8000			1.0000
86	0.0000	0.0000	0.0000	0.3750			0.0000
87	0.4819	0.3636	0.3636	0.7273			1.0000
88	0.1012	0.1111	0.3333	0.7778			0.2500
89	0.2863	0.2000	0.4000	0.6000			1.0000
90	0.0000	0.0000	0.0000	0.7143			0.0000
91	0.1063	0.1429	0.1429	0.7143			0.2000
92	0.0000	0.0000	0.1250	0.8750			0.0000
93	0.4600	0.4000	0.4000	1.0000			1.0000
94	0.2201	0.1000	0.3000	0.9000			1.0000
95	0.1483	0.1111	0.3333	0.8889			0.5000
96	0.0000	0.0000	0.2000	0.8000			0.0000
97	0.0000	0.0000	0.5000	0.7500			0.0000
98	0.0000	0.0000	0.3750	0.8750			0.0000
99	0.1070	0.2000	0.6000	0.8000			0.1250
100	0.1089	0.1250	0.3750	0.8750			0.2500
101	0.1574	0.2500	0.2500	0.8750			0.1429
102	0.4415	0.5000	0.5000	1.0000			0.5000
103	0.4197	0.3333	0.3333	1.0000			1.0000
104	0.2350	0.1111	0.3333	0.4444			1.0000
105	0.2087	0.3333	0.3333	0.3333			0.1667
106	0.0827	0.1429	0.1429	0.5714			0.1111
107	0.0734	0.1000	0.2000	0.4000			0.1429
108	0.1312	0.2000	0.2000	0.8000			0.2000
109	0.1420	0.2000	0.4000	0.9000			0.1667
