query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
0	0.0000	0.0000	0.0000	0.0000			0.0000
1	0.0000	0.0000	0.0000	0.0000			0.0000
2	0.3333	1.0000	1.0000	1.0000			0.1429
3	0.0000	0.0000	0.0000	0.0000			0.0000
4	0.4307	1.0000	1.0000	1.0000			0.2500
5	0.0000	0.0000	0.0000	1.0000			0.0000
6	0.0000	0.0000	0.0000	1.0000			0.0000
7	0.6934	1.0000	1.0000	1.0000			0.5000
8	0.3869	1.0000	1.0000	1.0000			0.2000
9	0.0000	0.0000	0.0000	0.0000			0.0000
10	0.0000	0.0000	0.0000	0.0000			0.0000
11	0.0000	0.0000	0.0000	1.0000			0.0000
12	0.0000	0.0000	0.0000	1.0000			0.0000
13	0.0000	0.0000	0.0000	0.0000			0.0000
14	0.0000	0.0000	0.0000	0.0000			0.0000
15	0.6309	1.0000	1.0000	1.0000			0.5000
16	0.3869	1.0000	1.0000	1.0000			0.2000
17	0.6309	1.0000	1.0000	1.0000			0.5000
18	0.0000	0.0000	1.0000	1.0000			0.0000
19	0.0000	0.0000	0.0000	0.0000			0.0000
20	0.0000	0.0000	1.0000	1.0000			0.0000
21	0.3010	1.0000	1.0000	1.0000			0.1111
22	1.0000	1.0000	1.0000	1.0000			1.0000
23	0.0000	0.0000	0.0000	1.0000			0.0000
24	0.0000	0.0000	0.0000	1.0000			0.0000
25	0.6309	1.0000	1.0000	1.0000			0.5000
26	0.0000	0.0000	0.5000	0.5000			0.0000
27	1.0000	1.0000	1.0000	1.0000			1.0000
28	0.0000	0.0000	0.0000	0.0000			0.0000
29	0.0000	0.0000	0.0000	1.0000			0.0000
30	0.0000	0.0000	0.0000	0.0000			0.0000
31	0.0000	0.0000	0.0000	0.0000			0.0000
32	0.0000	0.0000	0.0000	1.0000			0.0000
33	0.0000	0.0000	0.0000	0.0000			0.0000
34	0.0000	0.0000	0.0000	0.0000			0.0000
35	0.0000	0.0000	0.0000	0.0000			0.0000
36	0.0000	0.0000	0.0000	0.0000			0.0000
37	0.0000	0.0000	0.0000	0.0000			0.0000
38	0.3869	0.5000	0.5000	0.5000			0.5000
39	0.5000	1.0000	1.0000	1.0000			0.3333
40	0.0000	0.0000	0.5000	1.0000			0.0000
41	0.4307	1.0000	1.0000	1.0000			0.2500
42	0.0000	0.0000	0.0000	0.0000			0.0000
43	0.6309	1.0000	1.0000	1.0000			0.5000
44	0.0000	0.0000	0.0000	0.0000			0.0000
45	0.3869	1.0000	1.0000	1.0000			0.2000
46	0.0000	0.0000	1.0000	1.0000			0.0000
47	0.0000	0.0000	1.0000	1.0000			0.0000
48	1.0000	1.0000	1.0000	1.0000			1.0000
49	0.0000	0.0000	0.0000	0.0000			0.0000
50	0.0000	0.0000	1.0000	1.0000			0.0000
51	0.0000	0.0000	0.0000	0.0000			0.0000
52	0.0000	0.0000	0.0000	0.0000			0.0000
53	0.0000	0.0000	0.0000	1.0000			0.0000
54	0.0000	0.0000	1.0000	1.0000			0.0000
55	0.0000	0.0000	0.0000	0.0000			0.0000
56	0.5000	1.0000	1.0000	1.0000			0.3333
57	0.0000	0.0000	0.0000	1.0000			0.0000
58	0.6309	1.0000	1.0000	1.0000			0.5000
59	0.0000	0.0000	0.0000	0.0000			0.0000
60	0.0000	0.0000	0.0000	1.0000			0.0000
61	0.5000	1.0000	1.0000	1.0000			0.3333
62	0.0000	0.0000	1.0000	1.0000			0.0000
63	0.3333	1.0000	1.0000	1.0000			0.1429
64	0.5000	1.0000	1.0000	1.0000			0.3333
65	0.0000	0.0000	0.0000	0.0000			0.0000
66	0.5000	1.0000	1.0000	1.0000			0.3333
67	0.6309	1.0000	1.0000	1.0000			0.5000
68	1.0000	1.0000	1.0000	1.0000			1.0000
69	0.0000	0.0000	0.0000	0.0000			0.0000
70	0.6309	1.0000	1.0000	1.0000			0.5000
71	0.0000	0.0000	0.0000	1.0000			0.0000
72	0.0000	0.0000	0.0000	1.0000			0.0000
73	0.4307	1.0000	1.0000	1.0000			0.2500
74	0.0000	0.0000	0.0000	0.0000			0.0000
75	1.0000	1.0000	1.0000	1.0000			1.0000
76	0.4307	1.0000	1.0000	1.0000			0.2500
77	0.0000	0.0000	0.0000	1.0000			0.0000
78	0.6309	1.0000	1.0000	1.0000			0.5000
79	0.0000	0.0000	0.0000	0.0000			0.0000
80	0.0000	0.0000	0.0000	0.0000			0.0000
81	0.0000	0.0000	0.0000	0.0000			0.0000
82	0.0000	0.0000	0.0000	0.0000			0.0000
83	0.0000	0.0000	0.0000	1.0000			0.0000
84	0.6309	1.0000	1.0000	1.0000			0.5000
85	0.0000	0.0000	0.0000	0.0000			0.0000
86	0.0000	0.0000	0.0000	0.0000			0.0000
87	0.0000	0.0000	0.0000	0.0000			0.0000
88	0.0000	0.0000	0.0000	0.0000			0.0000
89	0.0000	0.0000	0.0000	0.0000			0.0000
90	0.0000	0.0000	1.0000	1.0000			0.0000
91	0.6309	1.0000	1.0000	1.0000			0.5000
92	0.0000	0.0000	0.0000	1.0000			0.0000
93	1.0000	1.0000	1.0000	1.0000			1.0000
94	0.3333	1.0000	1.0000	1.0000			0.1429
95	0.0000	0.0000	0.0000	0.0000			0.0000
96	0.0000	0.0000	0.0000	0.0000			0.0000
97	0.0000	0.0000	0.0000	0.0000			0.0000
98	0.0000	0.0000	0.0000	0.0000			0.0000
99	0.4307	1.0000	1.0000	1.0000			0.2500
100	0.0000	0.0000	0.0000	0.0000			0.0000
