query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
0	0.0000	0.0000	0.0000	0.0000			0.0000
1	0.0000	0.0000	0.0000	1.0000			0.0000
2	1.0000	1.0000	1.0000	1.0000			1.0000
3	0.3562	1.0000	1.0000	1.0000			0.1667
4	0.0000	0.0000	0.0000	0.0000			0.0000
5	0.0000	0.0000	0.0000	0.0000			0.0000
6	0.0000	0.0000	0.0000	0.0000			0.0000
7	0.4307	1.0000	1.0000	1.0000			0.2500
8	0.0000	0.0000	1.0000	1.0000			0.0000
9	0.0000	0.0000	1.0000	1.0000			0.0000
10	0.0000	0.0000	1.0000	1.0000			0.0000
11	0.0000	0.0000	0.0000	0.0000			0.0000
12	0.3869	1.0000	1.0000	1.0000			0.2000
13	0.0000	0.0000	0.0000	0.0000			0.0000
14	1.0000	1.0000	1.0000	1.0000			1.0000
15	0.0000	0.0000	0.0000	1.0000			0.0000
16	0.2891	1.0000	1.0000	1.0000			0.1000
17	0.3869	0.5000	0.5000	1.0000			0.5000
18	0.0000	0.0000	0.0000	1.0000			0.0000
19	0.0000	0.0000	0.0000	0.0000			0.0000
20	0.6309	1.0000	1.0000	1.0000			0.5000
21	0.3333	1.0000	1.0000	1.0000			0.1429
22	0.3562	1.0000	1.0000	1.0000			0.1667
23	0.0000	0.0000	0.0000	1.0000			0.0000
24	0.0000	0.0000	0.0000	0.0000			0.0000
25	0.0000	0.0000	0.0000	0.0000			0.0000
26	0.0000	0.0000	0.0000	1.0000			0.0000
27	0.3562	1.0000	1.0000	1.0000			0.1667
28	0.1846	0.5000	0.5000	1.0000			0.1111
29	0.0000	0.0000	0.0000	1.0000			0.0000
30	0.5000	1.0000	1.0000	1.0000			0.3333
31	0.5000	1.0000	1.0000	1.0000			0.3333
32	0.0000	0.0000	0.0000	1.0000			0.0000
33	0.0000	0.0000	1.0000	1.0000			0.0000
34	1.0000	1.0000	1.0000	1.0000			1.0000
35	0.6309	1.0000	1.0000	1.0000			0.5000
36	0.0000	0.0000	0.0000	0.0000			0.0000
37	0.0000	0.0000	0.0000	0.0000			0.0000
38	1.0000	1.0000	1.0000	1.0000			1.0000
39	1.0000	1.0000	1.0000	1.0000			1.0000
40	0.0000	0.0000	0.0000	0.0000			0.0000
41	0.3869	0.5000	0.5000	0.5000			0.5000
42	0.0000	0.0000	0.0000	0.0000			0.0000
43	0.2184	0.5000	0.5000	0.5000			0.1667
44	1.0000	1.0000	1.0000	1.0000			1.0000
45	1.0000	1.0000	1.0000	1.0000			1.0000
46	0.0000	0.0000	0.0000	0.0000			0.0000
47	0.3869	1.0000	1.0000	1.0000			0.2000
48	0.0000	0.0000	0.0000	0.0000			0.0000
49	0.0000	0.0000	0.0000	1.0000			0.0000
50	0.4307	1.0000	1.0000	1.0000			0.2500
51	0.0000	0.0000	0.0000	0.0000			0.0000
52	0.4307	1.0000	1.0000	1.0000			0.2500
53	0.5000	1.0000	1.0000	1.0000			0.3333
54	0.0000	0.0000	1.0000	1.0000			0.0000
55	0.0000	0.0000	0.0000	0.0000			0.0000
56	0.3869	1.0000	1.0000	1.0000			0.2000
57	0.2891	1.0000	1.0000	1.0000			0.1000
58	0.0000	0.0000	0.0000	0.0000			0.0000
59	0.0000	0.0000	0.0000	0.0000			0.0000
60	0.0000	0.0000	0.0000	0.0000			0.0000
61	0.5438	1.0000	1.0000	1.0000			0.3333
62	0.0000	0.0000	1.0000	1.0000			0.0000
63	0.3562	1.0000	1.0000	1.0000			0.1667
64	0.2891	1.0000	1.0000	1.0000			0.1000
65	0.0000	0.0000	0.0000	0.0000			0.0000
66	0.0000	0.0000	0.0000	0.0000			0.0000
67	0.0000	0.0000	0.0000	0.0000			0.0000
68	0.6309	1.0000	1.0000	1.0000			0.5000
69	0.0000	0.0000	0.0000	0.0000			0.0000
70	0.6309	1.0000	1.0000	1.0000			0.5000
71	0.0000	0.0000	0.0000	0.0000			0.0000
72	1.0000	1.0000	1.0000	1.0000			1.0000
73	0.0000	0.0000	1.0000	1.0000			0.0000
74	1.0000	1.0000	1.0000	1.0000			1.0000
75	0.0000	0.0000	0.0000	0.0000			0.0000
76	0.1772	0.5000	1.0000	1.0000			0.1000
77	0.0000	0.0000	1.0000	1.0000			0.0000
78	0.0000	0.0000	0.0000	0.0000			0.0000
79	0.0000	0.0000	0.0000	1.0000			0.0000
80	0.3869	1.0000	1.0000	1.0000			0.2000
81	0.0000	0.0000	1.0000	1.0000			0.0000
82	0.5000	1.0000	1.0000	1.0000			0.3333
83	0.0000	0.0000	0.0000	0.0000			0.0000
84	0.4307	1.0000	1.0000	1.0000			0.2500
85	0.6309	1.0000	1.0000	1.0000			0.5000
86	0.0000	0.0000	0.0000	0.0000			0.0000
87	0.3562	1.0000	1.0000	1.0000			0.1667
88	0.5000	1.0000	1.0000	1.0000			0.3333
89	0.0000	0.0000	0.0000	0.0000			0.0000
90	0.0000	0.0000	0.0000	0.0000			0.0000
91	0.2891	1.0000	1.0000	1.0000			0.1000
92	0.0000	0.0000	0.0000	0.0000			0.0000
93	0.0000	0.0000	0.0000	0.0000			0.0000
94	0.0000	0.0000	0.0000	0.0000			0.0000
95	0.3155	1.0000	1.0000	1.0000			0.1250
96	0.0000	0.0000	0.5000	0.5000			0.0000
97	0.0000	0.0000	0.0000	1.0000			0.0000
98	0.3010	1.0000	1.0000	1.0000			0.1111
99	0.3869	1.0000	1.0000	1.0000			0.2000
100	0.3869	1.0000	1.0000	1.0000			0.2000
101	0.3562	1.0000	1.0000	1.0000			0.1667
102	0.3155	1.0000	1.0000	1.0000			0.1250
103	0.5000	1.0000	1.0000	1.0000			0.3333
104	0.0000	0.0000	0.0000	1.0000			0.0000
105	0.6309	1.0000	1.0000	1.0000			0.5000
106	0.3869	1.0000	1.0000	1.0000			0.2000
107	1.0000	1.0000	1.0000	1.0000			1.0000
108	1.0000	1.0000	1.0000	1.0000			1.0000
109	0.2641	0.5000	0.5000	0.5000			0.2500
110	0.4307	1.0000	1.0000	1.0000			0.2500
111	0.3816	1.0000	1.0000	1.0000			0.1429
112	0.3869	1.0000	1.0000	1.0000			0.2000
113	0.4307	1.0000	1.0000	1.0000			0.2500
114	0.5000	1.0000	1.0000	1.0000			0.3333
115	0.0000	0.0000	0.0000	0.0000			0.0000
116	0.0000	0.0000	0.0000	0.0000			0.0000
