query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
0	0.0000	0.0000	0.0000	0.0000			0.0000
1	0.0000	0.0000	0.1667	0.1667			0.0000
2	0.0000	0.0000	0.0000	0.0000			0.0000
3	0.8772	1.0000	1.0000	1.0000			1.0000
4	0.3759	0.6667	1.0000	1.0000			0.3333
5	0.3904	0.2500	0.5000	0.5000			1.0000
6	0.0000	0.0000	0.0000	0.0000			0.0000
7	0.6049	0.6667	0.6667	0.6667			1.0000
8	0.0000	0.0000	0.0000	0.0000			0.0000
9	0.0000	0.0000	0.1667	0.5000			0.0000
10	0.7654	0.6667	0.6667	0.6667			1.0000
11	0.0000	0.0000	0.2000	0.2000			0.0000
12	0.0000	0.0000	0.0000	0.0000			0.0000
13	0.2173	0.1538	0.1538	0.5385			0.5000
14	0.3616	0.2857	0.2857	0.4286			1.0000
15	0.0000	0.0000	0.0000	0.0000			0.0000
16	0.0000	0.0000	0.0000	0.0000			0.0000
17	0.1009	0.1667	0.1667	0.3333			0.1429
18	0.0000	0.0000	0.0000	0.0000			0.0000
19	0.0000	0.0000	1.0000	1.0000			0.0000
20	0.2904	0.4000	0.6000	0.8000			0.3333
21	0.0000	0.0000	0.3333	0.5000			0.0000
22	0.0000	0.0000	0.0000	0.0000			0.0000
23	0.0000	0.0000	0.0000	0.0000			0.0000
24	0.0000	0.0000	0.3333	0.6667			0.0000
25	0.0000	0.0000	0.0000	0.1111			0.0000
26	0.0000	0.0000	0.0000	0.0000			0.0000
27	0.0000	0.0000	0.0000	0.0000			0.0000
28	0.3333	1.0000	1.0000	1.0000			0.1429
29	0.2641	0.5000	0.5000	0.5000			0.2500
30	0.1909	0.1667	0.1667	0.3333			0.5000
31	0.0000	0.0000	0.0000	0.6667			0.0000
32	0.0000	0.0000	0.0000	0.0000			0.0000
33	0.0000	0.0000	0.0000	1.0000			0.0000
34	0.0000	0.0000	0.0000	0.0000			0.0000
35	0.0000	0.0000	0.0000	0.0000			0.0000
36	0.0000	0.0000	0.0000	1.0000			0.0000
37	0.0000	0.0000	0.0000	0.0000			0.0000
38	0.0000	0.0000	0.0000	0.3333			0.0000
39	0.0000	0.0000	0.0000	0.5000			0.0000
40	0.0000	0.0000	0.0000	0.0000			0.0000
41	0.6714	0.6667	0.6667	0.6667			1.0000
42	0.0000	0.0000	0.0000	0.2500			0.0000
43	0.0000	0.0000	0.0000	0.0000			0.0000
44	0.0000	0.0000	0.0000	0.0000			0.0000
45	0.0000	0.0000	0.0000	0.0000			0.0000
46	0.0000	0.0000	0.0000	0.0000			0.0000
47	0.0000	0.0000	0.0000	0.0000			0.0000
48	0.0000	0.0000	0.0000	0.0000			0.0000
49	0.0000	0.0000	0.0000	0.0000			0.0000
50	0.0000	0.0000	0.0000	0.0000			0.0000
51	0.0000	0.0000	0.0000	0.0000			0.0000
52	0.1357	0.3333	0.3333	0.3333			0.1000
53	0.0000	0.0000	0.0000	0.0000			0.0000
54	0.1815	0.3333	0.6667	0.6667			0.2000
55	0.0000	0.0000	0.0000	0.3333			0.0000
56	0.0000	0.0000	0.0000	1.0000			0.0000
57	0.1681	0.2500	0.5000	0.5000			0.2500
58	0.1815	0.3333	0.3333	0.6667			0.2000
59	0.0000	0.0000	0.0000	0.0000			0.0000
60	0.0000	0.0000	0.0000	0.0000			0.0000
61	0.1952	0.2500	0.5000	0.5000			0.3333
62	0.0000	0.0000	0.3333	1.0000			0.0000
63	0.0000	0.0000	0.0000	0.2500			0.0000
64	0.0000	0.0000	0.0000	0.5000			0.0000
65	0.0000	0.0000	0.1667	0.1667			0.0000
66	0.2529	0.1250	0.1250	0.1250			1.0000
67	0.0000	0.0000	0.0000	0.0000			0.0000
68	0.0000	0.0000	0.0000	0.0000			0.0000
69	0.1232	0.2500	0.2500	0.7500			0.1250
70	0.0000	0.0000	0.0000	0.0000			0.0000
71	0.2463	0.2500	0.2500	0.5000			0.5000
72	0.0000	0.0000	0.2000	0.8000			0.0000
73	0.0000	0.0000	0.0000	0.0000			0.0000
74	0.1391	0.2500	0.2500	0.7500			0.1667
75	0.0000	0.0000	0.0000	0.0000			0.0000
76	0.0000	0.0000	0.0000	0.0000			0.0000
77	0.0000	0.0000	0.0000	0.0000			0.0000
78	0.6714	0.6667	0.6667	1.0000			1.0000
79	0.0000	0.0000	0.0000	0.2000			0.0000
80	0.0000	0.0000	0.0000	0.0000			0.0000
81	0.0000	0.0000	0.0000	0.0000			0.0000
82	0.0000	0.0000	0.0000	0.0000			0.0000
83	1.0000	1.0000	1.0000	1.0000			1.0000
84	0.3904	0.2500	0.2500	0.7500			1.0000
85	0.0000	0.0000	0.0000	0.0000			0.0000
86	0.8662	0.8333	0.8333	1.0000			1.0000
87	0.0000	0.0000	0.0000	0.5000			0.0000
88	0.0000	0.0000	0.0000	0.0000			0.0000
89	0.0000	0.0000	0.0000	0.3333			0.0000
90	0.0000	0.0000	0.0000	0.0000			0.0000
91	0.0000	0.0000	0.0000	0.0000			0.0000
92	0.6131	0.5000	0.5000	0.5000			1.0000
93	0.0000	0.0000	0.0000	0.0000			0.0000
