query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
8	0.6131	0.5000	0.5000	0.5000			1.0000
15	0.0000	0.0000	0.0000	1.0000			0.0000
18	0.0000	0.0000	1.0000	1.0000			0.0000
26	0.0000	0.0000	0.5000	0.5000			0.0000
34	0.0000	0.0000	0.0000	0.0000			0.0000
42	0.0000	0.0000	0.0000	0.3333			0.0000
56	0.0000	0.0000	0.0000	1.0000			0.0000
68	0.0000	0.0000	0.0000	0.0000			0.0000
89	0.1171	0.1667	0.3333	0.3333			0.2000
90	0.3155	1.0000	1.0000	1.0000			0.1250
94	0.4307	1.0000	1.0000	1.0000			0.2500
98	0.0000	0.0000	0.0000	0.0000			0.0000
104	0.0000	0.0000	0.0000	0.5000			0.0000
106	0.0000	0.0000	0.0000	0.0000			0.0000
109	0.4307	1.0000	1.0000	1.0000			0.2500
475	0.3869	1.0000	1.0000	1.0000			0.2000
503	0.0000	0.0000	0.0000	0.0000			0.0000
504	0.0000	0.0000	0.0000	0.0000			0.0000
515	1.0000	1.0000	1.0000	1.0000			1.0000
529	0.0000	0.0000	0.0000	0.0000			0.0000
547	0.0000	0.0000	0.0000	0.0000			0.0000
549	0.0000	0.0000	0.0000	1.0000			0.0000
559	0.0000	0.0000	0.0000	0.0000			0.0000
570	0.0000	0.0000	0.0000	0.0000			0.0000
585	0.0000	0.0000	0.0000	0.0000			0.0000
588	0.6131	0.5000	0.5000	0.5000			1.0000
594	0.3869	0.5000	0.5000	0.5000			0.5000
603	0.0000	0.0000	0.0000	1.0000			0.0000
604	0.0000	0.0000	0.0000	0.0000			0.0000
620	0.0000	0.0000	0.0000	0.0000			0.0000
622	0.0000	0.0000	0.0000	0.5000			0.0000
659	0.4035	0.3000	0.3000	0.5000			1.0000
672	0.0000	0.0000	0.5000	1.0000			0.0000
684	0.0000	0.0000	0.0000	0.0000			0.0000
687	0.0000	0.0000	0.0000	0.0000			0.0000
689	0.0000	0.0000	0.0000	0.0000			0.0000
691	0.3869	1.0000	1.0000	1.0000			0.2000
699	0.3869	1.0000	1.0000	1.0000			0.2000
701	0.0000	0.0000	0.0000	0.0000			0.0000
715	0.0000	0.0000	0.0000	0.0000			0.0000
721	0.5000	1.0000	1.0000	1.0000			0.3333
