query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
1	0.2973	0.0063	0.0063	0.0126			1.0000
2	0.3629	0.0096	0.0159	0.0637			1.0000
3	0.3952	0.0080	0.0111	0.0510			1.0000
4	0.2519	0.0038	0.0057	0.0170			1.0000
5	0.5296	0.0114	0.0212	0.0668			1.0000
6	0.2469	0.0031	0.0073	0.0355			0.5000
7	0.8721	0.0187	0.0374	0.1289			1.0000
8	0.6029	0.0095	0.0190	0.0554			1.0000
9	0.1289	0.0157	0.0209	0.1099			0.3333
10	0.8988	0.0211	0.0358	0.1368			1.0000
11	0.3223	0.0072	0.0145	0.0602			1.0000
12	0.0997	0.0049	0.0146	0.0584			0.1250
13	0.6637	0.0081	0.0161	0.0657			1.0000
14	0.7715	0.0314	0.0627	0.2275			1.0000
15	0.2568	0.0047	0.0047	0.0142			1.0000
16	0.5483	0.0129	0.0129	0.0362			1.0000
17	0.6326	0.0135	0.0240	0.0778			1.0000
18	0.6888	0.0127	0.0191	0.1131			1.0000
19	0.7437	0.0721	0.1081	0.2432			1.0000
20	0.7137	0.0114	0.0228	0.1040			0.5000
21	0.8084	0.0127	0.0175	0.0730			1.0000
22	0.8604	0.0147	0.0275	0.1062			1.0000
23	0.5474	0.0108	0.0243	0.0916			1.0000
24	0.6051	0.0124	0.0272	0.1386			1.0000
25	0.7034	0.0113	0.0189	0.0662			1.0000
26	0.2132	0.0039	0.0064	0.0386			0.5000
27	0.5570	0.0082	0.0106	0.0459			1.0000
28	0.8251	0.0145	0.0290	0.1289			1.0000
29	0.5189	0.0099	0.0215	0.0894			1.0000
30	0.9574	0.0270	0.0541	0.2405			1.0000
31	0.1448	0.0057	0.0113	0.0737			0.3333
32	0.0000	0.0000	0.0000	0.0185			0.0000
33	0.6133	0.0249	0.0427	0.1352			1.0000
34	0.1402	0.0174	0.0174	0.0698			0.1667
35	0.4815	0.0183	0.0367	0.1284			1.0000
36	1.0000	0.0164	0.0311	0.1424			1.0000
37	0.7209	0.0178	0.0311	0.1378			1.0000
38	0.7682	0.0055	0.0071	0.0308			1.0000
39	0.7887	0.0105	0.0221	0.1081			1.0000
40	0.8522	0.0144	0.0306	0.1457			1.0000
41	0.7106	0.0225	0.0482	0.1190			1.0000
42	0.8914	0.0370	0.0741	0.3292			1.0000
43	0.6138	0.0237	0.0632	0.2648			1.0000
44	0.6678	0.0145	0.0331	0.1056			1.0000
45	0.7771	0.0124	0.0174	0.0868			1.0000
46	0.6123	0.0330	0.0714	0.2033			1.0000
47	0.4073	0.0095	0.0143	0.0500			0.5000
48	0.8007	0.0158	0.0248	0.0811			1.0000
49	0.3654	0.0162	0.0324	0.1053			1.0000
50	0.4355	0.0292	0.0438	0.1168			1.0000
