query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
1	0.6143	0.5455	0.5455	0.8182			0.5000
2	0.6856	0.4167	0.4167	0.5000			1.0000
3	0.3716	0.5000	0.6667	0.6667			0.3333
4	0.3024	0.1500	0.3500	0.8000			0.5000
5	0.3590	0.1250	0.1875	0.5000			1.0000
6	0.3707	0.3846	0.6154	0.8462			0.5000
7	0.3372	0.1739	0.2609	0.4783			0.3333
8	0.0000	0.0000	0.0000	0.0323			0.0000
9	0.2330	0.0938	0.1250	0.2500			0.2000
10	0.2399	0.1154	0.2308	0.4231			0.3333
11	0.3984	0.2273	0.2273	0.5000			0.3333
12	0.0435	0.0769	0.0769	0.3077			0.1667
13	0.4304	0.2222	0.3333	0.5000			1.0000
14	0.4316	0.2105	0.2105	0.4211			1.0000
15	0.2685	0.1111	0.1111	0.2963			0.3333
16	0.2323	0.1429	0.4286	0.7143			0.5000
17	0.0000	0.0000	0.0769	0.2692			0.0000
18	0.4131	0.3125	0.3750	0.6875			0.3333
19	0.0000	0.0000	0.0000	0.3077			0.0000
20	0.1137	0.0588	0.2353	0.7059			1.0000
21	0.5418	0.2609	0.4348	0.5652			1.0000
22	0.0000	0.0000	0.0000	0.4667			0.0000
23	0.2663	0.1481	0.2222	0.2963			0.3333
24	0.1940	0.1765	0.4706	0.7059			1.0000
26	0.2051	0.0870	0.1304	0.4348			0.5000
27	0.2083	0.0769	0.1923	0.3077			0.5000
28	0.0000	0.0000	0.0417	0.4167			0.0000
29	0.2895	0.0714	0.2500	0.4643			1.0000
30	0.5389	0.2105	0.2632	0.3684			1.0000
31	0.4808	0.1875	0.3125	0.5625			1.0000
32	0.5434	0.5714	0.7143	1.0000			0.5000
33	0.5389	0.1429	0.2500	0.5000			1.0000
34	0.1983	0.1304	0.3913	0.5652			0.2000
35	0.2122	0.0833	0.1667	0.4167			0.5000
36	0.2466	0.1429	0.3333	0.7619			0.2500
37	0.5863	0.4286	0.8571	0.8571			1.0000
38	0.5474	0.1538	0.1923	0.4231			1.0000
39	0.4815	0.2353	0.3529	0.5882			1.0000
40	0.0318	0.0345	0.0690	0.1724			0.1000
41	0.3413	0.4444	0.6667	1.0000			0.2500
42	0.6613	0.6667	0.8333	1.0000			1.0000
43	0.4702	0.3750	0.6875	0.8750			0.5000
44	0.2557	0.1667	0.1667	0.5000			0.5000
45	0.5334	0.3333	0.4000	0.8667			1.0000
46	0.5481	0.3158	0.3684	0.7368			0.5000
47	0.4203	0.1538	0.2308	0.3462			1.0000
48	0.1884	0.1333	0.2667	0.6000			0.3333
49	0.5474	0.2105	0.4211	0.5789			1.0000
50	0.7503	0.5385	0.6154	0.7692			1.0000
