query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
1	0.0000	0.0000	0.0000	0.0000			0.0000
3	1.0000	1.0000	1.0000	1.0000			1.0000
5	1.0000	1.0000	1.0000	1.0000			1.0000
13	0.0000	0.0000	0.0000	1.0000			0.0000
36	0.2044	0.5000	0.5000	1.0000			0.1429
42	1.0000	1.0000	1.0000	1.0000			1.0000
48	1.0000	1.0000	1.0000	1.0000			1.0000
49	1.0000	1.0000	1.0000	1.0000			1.0000
50	1.0000	1.0000	1.0000	1.0000			1.0000
51	1.0000	1.0000	1.0000	1.0000			1.0000
53	1.0000	1.0000	1.0000	1.0000			1.0000
54	0.0000	0.0000	1.0000	1.0000			0.0000
56	1.0000	1.0000	1.0000	1.0000			1.0000
57	1.0000	1.0000	1.0000	1.0000			1.0000
70	1.0000	1.0000	1.0000	1.0000			1.0000
72	0.4307	1.0000	1.0000	1.0000			0.2500
75	0.5000	1.0000	1.0000	1.0000			0.3333
94	1.0000	1.0000	1.0000	1.0000			1.0000
99	0.3155	1.0000	1.0000	1.0000			0.1250
100	1.0000	1.0000	1.0000	1.0000			1.0000
113	1.0000	1.0000	1.0000	1.0000			1.0000
115	0.0000	0.0000	1.0000	1.0000			0.0000
118	1.0000	1.0000	1.0000	1.0000			1.0000
124	1.0000	1.0000	1.0000	1.0000			1.0000
127	0.5000	1.0000	1.0000	1.0000			0.3333
128	1.0000	1.0000	1.0000	1.0000			1.0000
129	1.0000	1.0000	1.0000	1.0000			1.0000
130	1.0000	1.0000	1.0000	1.0000			1.0000
132	0.0000	0.0000	0.0000	1.0000			0.0000
133	0.1696	0.2000	0.2000	0.8000			0.3333
137	1.0000	1.0000	1.0000	1.0000			1.0000
141	0.8772	1.0000	1.0000	1.0000			1.0000
142	1.0000	1.0000	1.0000	1.0000			1.0000
143	1.0000	1.0000	1.0000	1.0000			1.0000
146	1.0000	1.0000	1.0000	1.0000			1.0000
148	1.0000	1.0000	1.0000	1.0000			1.0000
163	0.6309	1.0000	1.0000	1.0000			0.5000
171	1.0000	1.0000	1.0000	1.0000			1.0000
179	0.5294	0.5000	0.7500	1.0000			1.0000
180	1.0000	1.0000	1.0000	1.0000			1.0000
183	0.6309	1.0000	1.0000	1.0000			0.5000
185	1.0000	1.0000	1.0000	1.0000			1.0000
198	0.3869	1.0000	1.0000	1.0000			0.2000
208	1.0000	1.0000	1.0000	1.0000			1.0000
212	0.3155	1.0000	1.0000	1.0000			0.1250
213	0.3562	1.0000	1.0000	1.0000			0.1667
216	1.0000	1.0000	1.0000	1.0000			1.0000
217	1.0000	1.0000	1.0000	1.0000			1.0000
218	1.0000	1.0000	1.0000	1.0000			1.0000
219	0.6309	1.0000	1.0000	1.0000			0.5000
230	1.0000	1.0000	1.0000	1.0000			1.0000
232	0.5000	1.0000	1.0000	1.0000			0.3333
233	1.0000	1.0000	1.0000	1.0000			1.0000
236	1.0000	1.0000	1.0000	1.0000			1.0000
237	1.0000	1.0000	1.0000	1.0000			1.0000
238	0.0000	0.0000	0.0000	1.0000			0.0000
239	0.0000	0.0000	0.0000	0.0000			0.0000
248	1.0000	1.0000	1.0000	1.0000			1.0000
249	1.0000	1.0000	1.0000	1.0000			1.0000
261	0.3869	0.5000	0.5000	1.0000			0.5000
268	0.6309	1.0000	1.0000	1.0000			0.5000
269	0.6309	1.0000	1.0000	1.0000			0.5000
274	0.6309	1.0000	1.0000	1.0000			0.5000
275	0.4693	0.3333	0.3333	1.0000			1.0000
279	1.0000	1.0000	1.0000	1.0000			1.0000
294	1.0000	1.0000	1.0000	1.0000			1.0000
295	1.0000	1.0000	1.0000	1.0000			1.0000
298	1.0000	1.0000	1.0000	1.0000			1.0000
300	1.0000	1.0000	1.0000	1.0000			1.0000
303	0.0000	0.0000	0.0000	1.0000			0.0000
312	0.3869	1.0000	1.0000	1.0000			0.2000
314	0.5000	1.0000	1.0000	1.0000			0.3333
324	0.0000	0.0000	0.0000	1.0000			0.0000
327	1.0000	1.0000	1.0000	1.0000			1.0000
338	1.0000	1.0000	1.0000	1.0000			1.0000
343	0.6241	1.0000	1.0000	1.0000			0.5000
350	1.0000	1.0000	1.0000	1.0000			1.0000
354	1.0000	1.0000	1.0000	1.0000			1.0000
362	1.0000	1.0000	1.0000	1.0000			1.0000
380	1.0000	1.0000	1.0000	1.0000			1.0000
384	0.0000	0.0000	0.0000	1.0000			0.0000
385	0.6509	1.0000	1.0000	1.0000			0.5000
386	1.0000	1.0000	1.0000	1.0000			1.0000
