query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.9670	1.0000	1.0000	1.0000			1.0000
q-002	0.6508	0.6667	0.6667	0.6667			1.0000
q-003	0.2021	0.3333	0.6667	1.0000			0.2500
q-004	0.4809	0.6000	1.0000	1.0000			0.5000
q-005	0.4685	1.0000	1.0000	1.0000			0.2500
q-006	0.9047	1.0000	1.0000	1.0000			1.0000
q-007	0.8529	1.0000	1.0000	1.0000			1.0000
q-008	0.5000	1.0000	1.0000	1.0000			0.3333
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.9060	1.0000	1.0000	1.0000			1.0000
q-011	0.8855	1.0000	1.0000	1.0000			1.0000
q-012	0.5582	1.0000	1.0000	1.0000			0.3333
q-013	0.4525	0.6667	0.6667	1.0000			0.5000
q-014	0.2346	0.3333	0.6667	0.6667			0.3333
q-015	0.1772	0.5000	1.0000	1.0000			0.1000
q-016	0.6934	1.0000	1.0000	1.0000			0.5000
q-017	0.2184	0.5000	0.5000	1.0000			0.1667
q-018	0.6367	0.5000	0.5000	1.0000			1.0000
q-019	0.4693	0.3333	0.3333	0.6667			1.0000
q-020	0.3869	0.5000	0.5000	0.5000			0.5000
q-021	0.1128	0.2500	0.2500	1.0000			0.1000
q-022	0.3342	0.5000	1.0000	1.0000			0.3333
q-023	0.8180	1.0000	1.0000	1.0000			1.0000
q-024	0.0000	0.0000	0.0000	0.0000			0.0000
q-025	0.0000	0.0000	0.0000	0.0000			0.0000
q-026	0.3392	0.2000	0.4000	0.8000			1.0000
q-027	0.2463	0.2500	0.5000	1.0000			0.5000
q-028	0.2811	0.5000	0.7500	1.0000			0.2000
q-029	0.4939	0.7500	0.7500	1.0000			0.5000
q-030	1.0000	1.0000	1.0000	1.0000			1.0000
q-031	0.3695	0.5000	1.0000	1.0000			0.5000
q-032	0.3869	0.5000	1.0000	1.0000			0.5000
q-033	0.2346	0.3333	0.3333	0.6667			0.3333
q-034	0.0000	0.0000	0.0000	1.0000			0.0000
q-035	0.0000	0.0000	1.0000	1.0000			0.0000
q-036	0.2044	0.5000	0.5000	1.0000			0.1429
q-037	0.0000	0.0000	0.0000	0.5000			0.0000
q-038	0.4693	0.3333	0.3333	0.3333			1.0000
q-039	0.4982	0.6667	1.0000	1.0000			0.5000
q-040	1.0000	1.0000	1.0000	1.0000			1.0000
q-041	0.4693	0.3333	0.6667	0.6667			1.0000
q-042	0.2961	0.3333	0.3333	1.0000			0.5000
q-043	0.2346	0.3333	0.3333	0.3333			0.3333
q-044	0.4693	0.3333	0.3333	1.0000			1.0000
q-045	0.3836	0.4000	0.8000	0.8000			0.5000
q-046	0.0000	0.0000	0.0000	0.0000			0.0000
q-047	0.1265	0.1250	0.2500	0.3750			0.3333
q-048	0.1265	0.1250	0.1250	0.2500			0.3333
q-049	0.9042	1.0000	1.0000	1.0000			1.0000
q-050	0.1596	0.1250	0.1250	0.2500			0.5000
q-051	0.2240	0.1429	0.1429	0.2857			0.5000
q-052	0.2346	0.3333	0.6667	1.0000			0.3333
q-053	0.0000	0.0000	0.0000	0.2500			0.0000
q-054	0.4306	1.0000	1.0000	1.0000			0.2000
q-055	0.2816	0.3333	0.5000	0.8333			0.3333
q-056	0.0000	0.0000	0.0313	0.2813			0.0000
q-057	0.0948	0.0179	0.0179	0.0357			0.2500
q-058	0.1389	0.0417	0.0417	0.1667			0.5000
q-059	0.1100	0.0278	0.0833	0.2222			0.3333
q-060	0.1100	0.0278	0.0833	0.2222			0.3333
