query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.3591	0.5000	0.7500	1.0000			0.5000
hu-002	1.0000	1.0000	1.0000	1.0000			1.0000
hu-003	0.7877	0.7500	1.0000	1.0000			1.0000
hu-004	0.1128	0.2500	0.5000	0.7500			0.1000
hu-005	0.1175	0.2500	0.2500	0.2500			0.1111
hu-006	0.3342	0.5000	0.5000	1.0000			0.3333
hu-007	0.7877	0.7500	1.0000	1.0000			1.0000
hu-008	0.8297	0.8000	1.0000	1.0000			1.0000
hu-009	0.5079	0.5000	0.7500	0.7500			1.0000
hu-010	0.1952	0.2500	0.7500	1.0000			0.3333
hu-011	0.6241	1.0000	1.0000	1.0000			0.5000
hu-012	0.8688	0.8000	0.8000	1.0000			1.0000
hu-013	0.9325	1.0000	1.0000	1.0000			1.0000
hu-014	0.9200	1.0000	1.0000	1.0000			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000
hu-018	0.8104	0.8333	1.0000	1.0000			1.0000
hu-019	0.9758	1.0000	1.0000	1.0000			1.0000
hu-020	0.9060	1.0000	1.0000	1.0000			1.0000
hu-021	0.9829	1.0000	1.0000	1.0000			1.0000
hu-022	0.9439	1.0000	1.0000	1.0000			1.0000
hu-023	0.5032	0.5000	0.7500	0.7500			1.0000
hu-024	0.5414	0.5000	0.7500	1.0000			1.0000
hu-025	0.8503	1.0000	1.0000	1.0000			1.0000
hu-026	0.6886	0.7500	0.7500	0.7500			1.0000
hu-027	0.9675	1.0000	1.0000	1.0000			1.0000
hu-028	0.1312	0.2000	0.6000	0.6000			0.2000
hu-029	0.7087	0.7500	0.7500	0.7500			1.0000
hu-030	0.6976	0.7500	1.0000	1.0000			1.0000
hu-031	0.7668	0.7500	0.7500	0.7500			1.0000
