query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.6886	0.7500	0.7500	0.7500			1.0000
hu-002	0.9325	1.0000	1.0000	1.0000			1.0000
hu-003	0.8319	0.7500	1.0000	1.0000			1.0000
hu-004	0.4144	0.5000	1.0000	1.0000			0.5000
hu-005	0.1175	0.2500	0.5000	1.0000			0.1111
hu-006	0.2533	0.5000	0.7500	0.7500			0.1429
hu-007	0.8319	0.7500	1.0000	1.0000			1.0000
hu-008	0.8435	0.8000	0.8000	1.0000			1.0000
hu-009	0.8319	0.7500	1.0000	1.0000			1.0000
hu-010	0.6715	0.7500	1.0000	1.0000			1.0000
hu-011	0.2372	0.5000	1.0000	1.0000			0.2000
hu-012	0.2904	0.4000	0.4000	1.0000			0.3333
hu-013	0.0000	0.0000	0.0000	0.3333			0.0000
hu-014	0.7989	0.8333	1.0000	1.0000			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	0.6131	0.5000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.3026	0.1667	0.1667	0.8333			1.0000
hu-019	0.6552	0.6000	1.0000	1.0000			1.0000
hu-020	0.7039	0.6667	0.6667	0.6667			1.0000
hu-021	0.5856	0.5000	1.0000	1.0000			1.0000
hu-022	0.7366	0.7500	0.7500	1.0000			1.0000
hu-023	0.2742	0.5000	0.7500	1.0000			0.2000
hu-024	0.5294	0.5000	0.7500	1.0000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.6367	0.5000	0.7500	1.0000			1.0000
hu-027	0.0000	0.0000	0.0000	0.3333			0.0000
hu-028	0.0000	0.0000	0.2000	0.6000			0.0000
hu-029	0.5856	0.5000	1.0000	1.0000			1.0000
hu-030	0.8667	1.0000	1.0000	1.0000			1.0000
hu-031	1.0000	1.0000	1.0000	1.0000			1.0000
