query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.6646	0.7500	0.7500	0.7500			1.0000
hu-002	0.7039	0.6667	0.6667	1.0000			1.0000
hu-003	0.7668	0.7500	1.0000	1.0000			1.0000
hu-004	0.4312	0.7500	1.0000	1.0000			0.3333
hu-005	0.0000	0.0000	0.2500	1.0000			0.0000
hu-006	0.2742	0.5000	0.7500	0.7500			0.2000
hu-007	0.7246	0.7500	1.0000	1.0000			1.0000
hu-008	0.6601	0.6000	0.8000	1.0000			1.0000
hu-009	0.9709	1.0000	1.0000	1.0000			1.0000
hu-010	0.7980	1.0000	1.0000	1.0000			1.0000
hu-011	0.1772	0.5000	0.5000	1.0000			0.1000
hu-012	0.3156	0.4000	0.4000	0.6000			0.3333
hu-013	0.0000	0.0000	0.0000	0.3333			0.0000
hu-014	0.6718	0.6667	0.6667	1.0000			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	0.7904	1.0000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.5151	0.5000	0.5000	0.8333			1.0000
hu-019	0.5087	0.4000	0.6000	1.0000			1.0000
hu-020	0.6714	0.6667	0.6667	0.6667			1.0000
hu-021	0.7757	0.7500	0.7500	1.0000			1.0000
hu-022	0.7598	0.7500	0.7500	1.0000			1.0000
hu-023	0.7598	1.0000	1.0000	1.0000			1.0000
hu-024	0.6367	0.5000	0.7500	1.0000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.6646	0.7500	0.7500	0.7500			1.0000
hu-027	0.0000	0.0000	0.0000	0.3333			0.0000
hu-028	0.1208	0.2000	0.6000	1.0000			0.1667
hu-029	0.1952	0.2500	0.7500	1.0000			0.3333
hu-030	0.6677	1.0000	1.0000	1.0000			0.5000
hu-031	0.9268	1.0000	1.0000	1.0000			1.0000
