query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.5585	0.5000	0.7500	1.0000			1.0000
hu-002	0.9066	1.0000	1.0000	1.0000			1.0000
hu-003	0.7877	0.7500	1.0000	1.0000			1.0000
hu-004	0.2685	0.5000	0.7500	1.0000			0.2000
hu-005	0.4367	0.7500	0.7500	1.0000			0.2500
hu-006	0.1510	0.2500	0.7500	0.7500			0.2000
hu-007	0.7757	0.7500	1.0000	1.0000			1.0000
hu-008	0.9505	1.0000	1.0000	1.0000			1.0000
hu-009	0.9558	1.0000	1.0000	1.0000			1.0000
hu-010	0.3695	0.5000	1.0000	1.0000			0.5000
hu-011	0.1934	0.5000	1.0000	1.0000			0.1250
hu-012	0.7720	0.8000	1.0000	1.0000			1.0000
hu-013	0.6005	1.0000	1.0000	1.0000			0.5000
hu-014	0.7929	1.0000	1.0000	1.0000			0.5000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	0.9197	1.0000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.7619	0.6667	0.8333	1.0000			1.0000
hu-019	0.7973	0.8000	1.0000	1.0000			1.0000
hu-020	0.7654	0.6667	0.6667	1.0000			1.0000
hu-021	0.9709	1.0000	1.0000	1.0000			1.0000
hu-022	0.7757	0.7500	0.7500	1.0000			1.0000
hu-023	0.6539	1.0000	1.0000	1.0000			0.5000
hu-024	0.6380	0.7500	0.7500	1.0000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.8319	0.7500	1.0000	1.0000			1.0000
hu-027	0.1815	0.3333	1.0000	1.0000			0.2000
hu-028	0.4600	0.4000	0.6000	1.0000			1.0000
hu-029	0.6096	0.7500	0.7500	1.0000			0.5000
hu-030	0.6766	1.0000	1.0000	1.0000			0.5000
hu-031	0.7157	1.0000	1.0000	1.0000			0.5000
