query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.1232	0.2500	0.2500	1.0000			0.1250
hu-002	0.9675	1.0000	1.0000	1.0000			1.0000
hu-003	0.7757	0.7500	0.7500	1.0000			1.0000
hu-004	0.0000	0.0000	0.2500	1.0000			0.0000
hu-005	0.0000	0.0000	0.0000	0.7500			0.0000
hu-006	0.3183	0.5000	0.5000	1.0000			0.3333
hu-007	0.6886	0.7500	1.0000	1.0000			1.0000
hu-008	0.7227	0.6000	0.8000	1.0000			1.0000
hu-009	0.3904	0.2500	0.5000	1.0000			1.0000
hu-010	0.3904	0.2500	0.5000	1.0000			1.0000
hu-011	0.4575	1.0000	1.0000	1.0000			0.2500
hu-012	0.9668	1.0000	1.0000	1.0000			1.0000
hu-013	0.3836	0.6667	1.0000	1.0000			0.2500
hu-014	0.7796	0.8333	1.0000	1.0000			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.7888	0.8333	1.0000	1.0000			1.0000
hu-019	0.8358	0.8000	1.0000	1.0000			1.0000
hu-020	0.8278	1.0000	1.0000	1.0000			1.0000
hu-021	0.9829	1.0000	1.0000	1.0000			1.0000
hu-022	0.7537	0.7500	0.7500	1.0000			1.0000
hu-023	0.3904	0.2500	0.2500	0.7500			1.0000
hu-024	0.3904	0.2500	0.5000	1.0000			1.0000
hu-025	0.6509	1.0000	1.0000	1.0000			0.5000
hu-026	0.5414	0.5000	0.5000	1.0000			1.0000
hu-027	0.8396	1.0000	1.0000	1.0000			1.0000
hu-028	0.0000	0.0000	0.0000	0.6000			0.0000
hu-029	0.6367	0.5000	0.5000	1.0000			1.0000
hu-030	0.7031	0.7500	1.0000	1.0000			1.0000
hu-031	0.6367	0.5000	0.7500	1.0000			1.0000
