query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.7679	0.8000	0.8000	1.0000			1.0000
q-002	0.4693	0.3333	0.6667	0.6667			1.0000
q-003	0.9325	1.0000	1.0000	1.0000			1.0000
q-004	0.5879	0.8000	1.0000	1.0000			0.5000
q-005	0.8316	1.0000	1.0000	1.0000			1.0000
q-006	0.6956	1.0000	1.0000	1.0000			0.5000
q-007	0.9469	1.0000	1.0000	1.0000			1.0000
q-008	1.0000	1.0000	1.0000	1.0000			1.0000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.7654	0.6667	0.6667	1.0000			1.0000
q-011	0.7039	0.6667	0.6667	1.0000			1.0000
q-012	0.7039	0.6667	1.0000	1.0000			1.0000
q-013	0.6189	1.0000	1.0000	1.0000			0.5000
q-014	0.4441	0.6667	0.6667	0.6667			0.5000
q-015	0.6509	1.0000	1.0000	1.0000			0.5000
q-016	0.5706	1.0000	1.0000	1.0000			0.3333
q-017	0.6131	0.5000	1.0000	1.0000			1.0000
q-018	0.3183	0.5000	0.5000	1.0000			0.3333
q-019	0.4693	0.3333	0.3333	0.6667			1.0000
q-020	0.3869	0.5000	0.5000	0.5000			0.5000
q-021	0.1681	0.2500	0.2500	1.0000			0.2500
q-022	0.7100	1.0000	1.0000	1.0000			0.5000
q-023	0.7039	0.6667	1.0000	1.0000			1.0000
q-024	0.0000	0.0000	0.0000	0.0000			0.0000
q-025	0.2184	0.5000	0.5000	0.5000			0.1667
q-026	0.3739	0.6000	0.6000	0.8000			0.2500
q-027	0.1681	0.2500	0.5000	0.7500			0.2500
q-028	0.5535	0.7500	0.7500	1.0000			0.5000
q-029	0.3695	0.5000	1.0000	1.0000			0.5000
q-030	1.0000	1.0000	1.0000	1.0000			1.0000
q-031	0.5590	0.7500	0.7500	1.0000			0.5000
q-032	0.4838	1.0000	1.0000	1.0000			0.3333
q-033	0.4693	0.3333	0.3333	0.6667			1.0000
q-034	0.0000	0.0000	1.0000	1.0000			0.0000
q-035	0.3562	1.0000	1.0000	1.0000			0.1667
q-036	0.3066	0.5000	1.0000	1.0000			0.3333
q-037	0.3869	0.5000	0.5000	0.5000			0.5000
q-038	0.4693	0.3333	0.3333	0.3333			1.0000
q-039	1.0000	1.0000	1.0000	1.0000			1.0000
q-040	1.0000	1.0000	1.0000	1.0000			1.0000
q-041	0.2346	0.3333	0.3333	1.0000			0.3333
q-042	0.5882	1.0000	1.0000	1.0000			0.5000
q-043	0.2961	0.3333	0.3333	0.6667			0.5000
q-044	0.6049	0.6667	0.6667	1.0000			1.0000
q-045	0.7530	0.8000	1.0000	1.0000			1.0000
q-046	0.1909	0.1667	0.6667	0.6667			0.5000
q-047	0.1574	0.2500	0.6250	1.0000			0.1429
q-048	0.3704	0.3750	0.6250	0.6250			0.5000
q-049	0.9068	1.0000	1.0000	1.0000			1.0000
q-050	0.4695	0.3750	0.5000	0.6250			1.0000
q-051	0.3188	0.2143	0.3571	0.3571			0.5000
q-052	0.0000	0.0000	0.0000	1.0000			0.0000
q-053	0.3291	0.2500	0.2500	0.2500			1.0000
q-054	0.4685	1.0000	1.0000	1.0000			0.2500
q-055	0.5500	0.5000	0.5000	1.0000			1.0000
q-056	0.2180	0.0938	0.2813	0.9375			0.1667
q-057	0.4202	0.0893	0.1250	0.1786			0.3333
q-058	0.3597	0.1250	0.2500	0.3750			1.0000
q-059	0.2489	0.0556	0.1389	0.6389			0.5000
q-060	0.2489	0.0556	0.1389	0.6389			0.5000
