query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.7877	0.7500	0.7500	1.0000			1.0000
hu-002	1.0000	1.0000	1.0000	1.0000			1.0000
hu-003	0.8319	0.7500	1.0000	1.0000			1.0000
hu-004	0.3923	0.7500	1.0000	1.0000			0.1667
hu-005	0.1301	0.2500	0.7500	1.0000			0.1429
hu-006	0.3462	0.5000	0.7500	1.0000			0.3333
hu-007	0.8319	0.7500	1.0000	1.0000			1.0000
hu-008	0.8688	0.8000	1.0000	1.0000			1.0000
hu-009	0.7095	0.7500	1.0000	1.0000			1.0000
hu-010	0.3183	0.5000	0.7500	1.0000			0.3333
hu-011	0.5250	1.0000	1.0000	1.0000			0.3333
hu-012	0.8539	0.8000	0.8000	1.0000			1.0000
hu-013	0.7654	0.6667	0.6667	1.0000			1.0000
hu-014	0.9496	1.0000	1.0000	1.0000			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.4725	0.5000	0.6667	1.0000			0.5000
hu-019	0.9818	1.0000	1.0000	1.0000			1.0000
hu-020	0.9218	1.0000	1.0000	1.0000			1.0000
hu-021	1.0000	1.0000	1.0000	1.0000			1.0000
hu-022	0.9620	1.0000	1.0000	1.0000			1.0000
hu-023	0.7366	0.7500	0.7500	1.0000			1.0000
hu-024	0.6805	0.7500	1.0000	1.0000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.7495	0.7500	1.0000	1.0000			1.0000
hu-027	0.8520	1.0000	1.0000	1.0000			1.0000
hu-028	0.2669	0.4000	0.6000	0.8000			0.2500
hu-029	0.8319	0.7500	1.0000	1.0000			1.0000
hu-030	0.8397	1.0000	1.0000	1.0000			1.0000
hu-031	0.9280	1.0000	1.0000	1.0000			1.0000
