query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.8123	0.8000	0.8000	1.0000			1.0000
q-002	0.4693	0.3333	0.6667	0.6667			1.0000
q-003	0.1480	0.3333	1.0000	1.0000			0.1250
q-004	0.5830	0.8000	1.0000	1.0000			0.5000
q-005	0.5912	1.0000	1.0000	1.0000			0.5000
q-006	0.6665	1.0000	1.0000	1.0000			0.5000
q-007	0.9060	1.0000	1.0000	1.0000			1.0000
q-008	1.0000	1.0000	1.0000	1.0000			1.0000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.7654	0.6667	1.0000	1.0000			1.0000
q-011	0.7039	0.6667	1.0000	1.0000			1.0000
q-012	0.6364	0.6667	1.0000	1.0000			1.0000
q-013	0.4776	0.6667	0.6667	1.0000			0.5000
q-014	0.4776	0.6667	0.6667	1.0000			0.5000
q-015	0.5013	1.0000	1.0000	1.0000			0.2500
q-016	0.8772	1.0000	1.0000	1.0000			1.0000
q-017	0.3066	0.5000	0.5000	1.0000			0.3333
q-018	0.2810	0.5000	0.7500	1.0000			0.2500
q-019	0.1357	0.3333	0.3333	0.6667			0.1000
q-020	0.3869	0.5000	0.5000	0.5000			0.5000
q-021	0.1510	0.2500	0.2500	1.0000			0.2000
q-022	0.6621	1.0000	1.0000	1.0000			0.5000
q-023	0.5938	1.0000	1.0000	1.0000			0.5000
q-024	0.0000	0.0000	0.0000	0.0000			0.0000
q-025	0.0000	0.0000	0.5000	0.5000			0.0000
q-026	0.4369	0.6000	0.6000	0.8000			0.5000
q-027	0.1952	0.2500	0.7500	1.0000			0.3333
q-028	0.4144	0.5000	0.7500	1.0000			0.5000
q-029	0.4870	0.7500	1.0000	1.0000			0.5000
q-030	1.0000	1.0000	1.0000	1.0000			1.0000
q-031	0.6423	0.7500	0.7500	1.0000			1.0000
q-032	0.6131	0.5000	0.5000	1.0000			1.0000
q-033	0.2346	0.3333	0.3333	0.6667			0.3333
q-034	0.0000	0.0000	0.0000	1.0000			0.0000
q-035	0.5000	1.0000	1.0000	1.0000			0.3333
q-036	0.3066	0.5000	0.5000	1.0000			0.3333
q-037	0.2044	0.5000	0.5000	0.5000			0.1429
q-038	0.4693	0.3333	0.3333	0.3333			1.0000
q-039	0.9469	1.0000	1.0000	1.0000			1.0000
q-040	1.0000	1.0000	1.0000	1.0000			1.0000
q-041	0.4693	0.3333	0.3333	1.0000			1.0000
q-042	0.6045	1.0000	1.0000	1.0000			0.5000
q-043	0.4693	0.3333	0.3333	0.6667			1.0000
q-044	0.2961	0.3333	0.6667	1.0000			0.5000
q-045	0.7870	0.8000	1.0000	1.0000			1.0000
q-046	0.3026	0.1667	0.3333	0.6667			1.0000
q-047	0.1933	0.2500	0.5000	1.0000			0.2500
q-048	0.5571	0.5000	0.7500	0.7500			1.0000
q-049	0.9512	1.0000	1.0000	1.0000			1.0000
q-050	0.3592	0.3750	0.6250	0.6250			0.5000
q-051	0.3689	0.2143	0.3571	0.4286			1.0000
q-052	0.0000	0.0000	0.0000	1.0000			0.0000
q-053	0.2026	0.2500	0.2500	0.2500			0.3333
q-054	0.5438	1.0000	1.0000	1.0000			0.3333
q-055	0.4539	0.3333	0.5000	0.8333			1.0000
q-056	0.2848	0.1250	0.2813	0.9688			0.1667
q-057	0.4081	0.0893	0.1071	0.1786			0.3333
q-058	0.2711	0.1250	0.1667	0.4583			0.3333
q-059	0.2173	0.0556	0.1944	0.7222			0.5000
q-060	0.2173	0.0556	0.1944	0.7222			0.5000
