query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.8048	0.7500	0.7500	1.0000			1.0000
hu-002	0.9218	1.0000	1.0000	1.0000			1.0000
hu-003	0.9829	1.0000	1.0000	1.0000			1.0000
hu-004	0.3940	0.7500	1.0000	1.0000			0.2000
hu-005	0.5535	0.7500	0.7500	1.0000			0.5000
hu-006	0.1175	0.2500	0.7500	0.7500			0.1111
hu-007	0.9047	1.0000	1.0000	1.0000			1.0000
hu-008	0.9896	1.0000	1.0000	1.0000			1.0000
hu-009	0.9709	1.0000	1.0000	1.0000			1.0000
hu-010	0.2811	0.5000	1.0000	1.0000			0.2000
hu-011	0.4825	1.0000	1.0000	1.0000			0.2500
hu-012	0.8304	0.8000	0.8000	1.0000			1.0000
hu-013	1.0000	1.0000	1.0000	1.0000			1.0000
hu-014	0.9496	1.0000	1.0000	1.0000			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.6448	0.5000	0.6667	1.0000			1.0000
hu-019	0.8013	0.8000	1.0000	1.0000			1.0000
hu-020	0.7654	0.6667	0.6667	1.0000			1.0000
hu-021	1.0000	1.0000	1.0000	1.0000			1.0000
hu-022	0.8712	1.0000	1.0000	1.0000			1.0000
hu-023	0.5535	0.7500	1.0000	1.0000			0.5000
hu-024	0.7877	0.7500	1.0000	1.0000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.9439	1.0000	1.0000	1.0000			1.0000
hu-027	0.6173	0.6667	1.0000	1.0000			1.0000
hu-028	0.4365	0.6000	0.6000	1.0000			0.3333
hu-029	0.7757	0.7500	1.0000	1.0000			1.0000
hu-030	0.8768	1.0000	1.0000	1.0000			1.0000
hu-031	0.7225	1.0000	1.0000	1.0000			0.5000
