query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.7774	1.0000	1.0000	1.0000			1.0000
hu-002	0.3378	0.6667	1.0000	1.0000			0.2500
hu-003	0.2901	0.5000	0.7500	1.0000			0.2000
hu-004	0.6367	0.5000	0.5000	0.7500			1.0000
hu-005	0.1681	0.2500	0.2500	0.5000			0.2500
hu-006	0.0000	0.0000	0.0000	0.5000			0.0000
hu-007	0.2983	0.5000	1.0000	1.0000			0.2500
hu-008	0.1312	0.2000	0.4000	1.0000			0.2000
hu-009	0.5646	0.7500	0.7500	0.7500			0.5000
hu-010	0.3904	0.2500	0.2500	1.0000			1.0000
hu-011	0.6131	0.5000	1.0000	1.0000			1.0000
hu-012	1.0000	1.0000	1.0000	1.0000			1.0000
hu-013	0.9060	1.0000	1.0000	1.0000			1.0000
hu-014	0.0000	0.0000	0.0000	1.0000			0.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000
hu-018	0.9931	1.0000	1.0000	1.0000			1.0000
hu-019	0.8200	0.8000	0.8000	1.0000			1.0000
hu-020	0.4776	0.6667	1.0000	1.0000			0.5000
hu-021	0.8928	1.0000	1.0000	1.0000			1.0000
hu-022	0.5856	0.5000	0.7500	1.0000			1.0000
hu-023	0.4637	0.7500	0.7500	0.7500			0.3333
hu-024	0.0000	0.0000	0.0000	0.5000			0.0000
hu-025	0.0000	0.0000	0.5000	1.0000			0.0000
hu-026	0.8319	0.7500	1.0000	1.0000			1.0000
hu-027	0.0000	0.0000	0.0000	0.0000			0.0000
hu-028	0.3601	0.4000	0.4000	0.8000			0.5000
hu-029	0.2519	0.5000	0.5000	1.0000			0.1667
hu-030	0.5654	0.7500	1.0000	1.0000			0.5000
hu-031	0.0000	0.0000	0.0000	0.2500			0.0000
