query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
1	0.6473	0.5455	0.5455	0.8182			0.5000	0.6000	0.6000	0.0000	0.4153	0.5455	0.4411
2	0.7208	0.4167	0.5000	0.5000			1.0000	1.0000	0.5000	0.0000	0.4479	0.4167	0.3206
3	0.6014	0.5000	0.6667	0.6667			1.0000	0.4000	0.3000	0.0000	0.3690	0.3333	0.3433
4	0.5022	0.2500	0.5000	0.8000			0.5000	0.8000	0.5000	0.0000	0.4175	0.5000	0.4209
5	0.2519	0.1250	0.1875	0.5000			1.0000	0.2000	0.2000	0.0000	0.1373	0.1875	0.7510
6	0.4168	0.3846	0.5385	0.8462			1.0000	0.6000	0.5000	0.0000	0.4014	0.3846	0.3141
7	0.4381	0.2174	0.2609	0.4783			0.5000	0.4000	0.5000	0.0000	0.1873	0.2609	0.5769
8	0.0000	0.0000	0.0000	0.0323			0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.8720
9	0.2201	0.0313	0.1563	0.2500			1.0000	0.2000	0.1000	0.0000	0.0707	0.1563	0.7546
10	0.2376	0.1154	0.2308	0.4231			0.2500	0.2000	0.3000	0.0000	0.1283	0.2692	0.7568
11	0.4666	0.2273	0.2727	0.5000			0.5000	0.6000	0.5000	0.0000	0.2010	0.3182	0.5310
12	0.0611	0.0769	0.0769	0.3077			0.3333	0.2000	0.1000	0.0000	0.0452	0.0769	0.6697
13	0.5166	0.2778	0.3333	0.5000			1.0000	0.4000	0.5000	0.0000	0.2432	0.3333	0.4800
14	0.4538	0.2105	0.3158	0.4211			1.0000	0.8000	0.4000	0.0000	0.2852	0.3158	0.3615
15	0.2048	0.0741	0.1111	0.2963			0.3333	0.4000	0.2000	0.0000	0.0629	0.1852	0.4024
16	0.2975	0.2143	0.4286	0.7143			0.3333	0.4000	0.3000	0.0000	0.2444	0.4286	0.6633
17	0.0000	0.0000	0.0769	0.2692			0.0000	0.0000	0.0000	0.0000	0.0215	0.0769	0.7725
18	0.4729	0.3750	0.5000	0.6875			0.3333	0.4000	0.6000	0.0000	0.3033	0.5000	0.3916
19	0.0000	0.0000	0.0385	0.3077			0.0000	0.0000	0.0000	0.0000	0.0242	0.0385	0.9946
20	0.2016	0.1176	0.1765	0.7059			1.0000	0.4000	0.2000	0.0000	0.2064	0.1765	0.6926
21	0.6545	0.3043	0.4783	0.5652			1.0000	0.6000	0.7000	0.0000	0.3933	0.4783	0.2939
22	0.0734	0.0667	0.1333	0.4667			0.1429	0.0000	0.1000	0.0000	0.0452	0.0667	0.7354
23	0.1682	0.0741	0.1852	0.2963			0.2500	0.2000	0.2000	0.0000	0.0718	0.1852	0.6445
24	0.2124	0.2353	0.3529	0.7059			0.5000	0.6000	0.4000	0.0000	0.2591	0.2941	0.5621
26	0.2935	0.0870	0.1739	0.4348			1.0000	0.2000	0.2000	0.0000	0.1177	0.1739	0.7156
27	0.2973	0.1154	0.1923	0.3077			0.5000	0.4000	0.3000	0.0000	0.0864	0.1923	0.6952
28	0.0000	0.0000	0.1667	0.4167			0.0000	0.0000	0.0000	0.0000	0.0734	0.2083	0.9509
29	0.4413	0.1429	0.2143	0.4643			1.0000	0.2000	0.4000	0.0000	0.1672	0.3214	0.6127
