query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
hu-001	0.7087	0.7500	0.7500	1.0000			1.0000	0.4000	0.3000	0.0000	0.5580	0.5000	0.6278
hu-002	0.9675	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.9167	0.6667	0.5376
hu-003	1.0000	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	1.0000	1.0000	0.4096
hu-004	0.2622	0.5000	0.7500	1.0000			0.1667	0.0000	0.2000	0.0000	0.1994	0.0000	0.8803
hu-005	0.8319	0.7500	0.7500	1.0000			1.0000	0.6000	0.3000	0.0000	0.7976	0.7500	0.5097
hu-006	0.1128	0.2500	0.5000	1.0000			0.1000	0.0000	0.1000	0.0000	0.1161	0.0000	0.9603
hu-007	0.7316	1.0000	1.0000	1.0000			0.5000	0.6000	0.4000	1.0000	0.6083	0.5000	0.5645
hu-008	0.8930	1.0000	1.0000	1.0000			1.0000	0.8000	0.5000	1.0000	0.7683	0.8000	0.4457
hu-009	0.9829	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	0.9500	0.7500	0.4301
hu-010	0.1391	0.2500	0.7500	1.0000			0.1667	0.0000	0.1000	0.0000	0.1645	0.0000	0.9176
hu-011	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
hu-012	1.0000	1.0000	1.0000	1.0000			1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	0.3277
hu-013	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
hu-014	0.8976	1.0000	1.0000	1.0000			1.0000	0.8000	0.6000	1.0000	0.7802	0.6667	0.3933
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
hu-017	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
hu-018	0.9286	1.0000	1.0000	1.0000			1.0000	0.6000	0.6000	1.0000	0.7994	0.5000	0.3908
hu-019	0.9505	1.0000	1.0000	1.0000			1.0000	0.6000	0.5000	1.0000	0.8583	0.6000	0.4045
hu-020	0.7654	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.7576	0.6667	0.6185
hu-021	1.0000	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	1.0000	1.0000	0.4096
hu-022	0.8768	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.7292	0.7500	0.5277
hu-023	0.9178	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.7929	0.5000	0.5057
hu-024	0.7598	0.7500	1.0000	1.0000			1.0000	0.4000	0.3000	0.0000	0.6847	0.5000	0.5766
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
hu-026	0.7668	0.7500	0.7500	0.7500			1.0000	0.4000	0.3000	0.0000	0.6071	0.5000	0.5876
hu-027	0.8385	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6667	0.3333	0.6321
hu-028	0.5044	0.6000	0.6000	1.0000			0.5000	0.4000	0.3000	0.0000	0.4082	0.4000	0.6439
hu-029	0.9558	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	0.8875	0.7500	0.4557
hu-030	0.6981	1.0000	1.0000	1.0000			0.5000	0.4000	0.4000	1.0000	0.5278	0.5000	0.6129
hu-031	0.5925	0.7500	1.0000	1.0000			0.5000	0.6000	0.3000	0.0000	0.5326	0.5000	0.6086
