query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
hu-001	0.1175	0.2500	0.2500	0.5000			0.1111	0.0000	0.1000	0.0000	0.0450	0.0000	0.9661
hu-002	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
hu-003	0.7877	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6500	0.5000	0.5581
hu-004	0.0000	0.0000	0.5000	0.7500			0.0000	0.0000	0.0000	0.0000	0.0633	0.0000	0.9820
hu-005	0.0000	0.0000	0.0000	0.2500			0.0000	0.0000	0.0000	0.0000	0.0078	0.0000	0.9998
hu-006	0.3191	0.5000	0.5000	1.0000			0.2500	0.4000	0.2000	0.0000	0.2089	0.2500	0.8154
hu-007	0.6714	0.7500	1.0000	1.0000			1.0000	0.4000	0.3000	0.0000	0.5409	0.5000	0.6493
hu-008	0.6992	0.6000	0.8000	1.0000			1.0000	0.6000	0.3000	0.0000	0.6359	0.6000	0.5238
hu-009	0.3904	0.2500	0.5000	0.7500			1.0000	0.2000	0.1000	0.0000	0.2998	0.2500	0.7962
hu-010	0.2463	0.2500	0.2500	1.0000			0.5000	0.2000	0.1000	0.0000	0.1764	0.2500	0.8392
hu-011	0.4218	1.0000	1.0000	1.0000			0.2000	0.2000	0.2000	1.0000	0.2111	0.0000	0.8845
hu-012	0.7824	0.8000	0.8000	1.0000			1.0000	0.6000	0.4000	0.0000	0.6161	0.6000	0.5312
hu-013	0.6508	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5333	0.3333	0.7093
hu-014	0.7586	0.8333	1.0000	1.0000			1.0000	0.6000	0.5000	0.0000	0.6516	0.6667	0.4867
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
hu-016	0.8316	1.0000	1.0000	1.0000			1.0000	0.2000	0.2000	1.0000	0.6667	0.5000	0.7345
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720
hu-018	0.8271	0.8333	1.0000	1.0000			1.0000	0.6000	0.5000	0.0000	0.7450	0.6667	0.4191
hu-019	0.6740	0.6000	1.0000	1.0000			1.0000	0.4000	0.3000	0.0000	0.6497	0.4000	0.5392
hu-020	0.8711	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7222	0.6667	0.6065
hu-021	0.9047	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	0.8042	0.7500	0.4877
hu-022	0.5414	0.5000	0.7500	1.0000			1.0000	0.4000	0.2000	0.0000	0.4434	0.2500	0.7039
hu-023	0.3904	0.2500	0.2500	0.7500			1.0000	0.2000	0.1000	0.0000	0.2823	0.2500	0.7999
hu-024	0.5856	0.5000	0.5000	0.7500			1.0000	0.4000	0.2000	0.0000	0.4354	0.5000	0.6720
hu-025	0.8503	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.7000	0.5000	0.7181
hu-026	0.3854	0.5000	0.7500	0.7500			0.5000	0.2000	0.2000	0.0000	0.2583	0.2500	0.7657
hu-027	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
hu-028	0.0000	0.0000	0.2000	0.6000			0.0000	0.0000	0.0000	0.0000	0.0428	0.0000	0.9940
hu-029	0.5856	0.5000	0.7500	1.0000			1.0000	0.4000	0.2000	0.0000	0.5283	0.5000	0.6490
hu-030	0.5925	0.7500	1.0000	1.0000			0.5000	0.6000	0.3000	0.0000	0.5005	0.5000	0.6245
hu-031	0.6367	0.5000	0.7500	0.7500			1.0000	0.4000	0.2000	0.0000	0.5625	0.5000	0.6228
