query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
PLAIN-2	0.7421	0.2500	0.4167	0.6667			1.0000	0.8000	0.6000	0.0000	0.4301	0.4583	0.2405
PLAIN-12	0.0871	0.0333	0.0333	0.0333			0.1667	0.0000	0.1000	0.0000	0.0056	0.0333	0.9345
PLAIN-23	0.5943	0.0778	0.0778	0.1000			1.0000	1.0000	0.7000	0.0000	0.0786	0.1000	0.2352
PLAIN-33	0.0758	0.0313	0.0313	0.1875			0.1429	0.0000	0.1000	0.0000	0.0122	0.0313	0.9476
PLAIN-44	0.1608	0.0172	0.0172	0.2069			0.5000	0.2000	0.1000	0.0000	0.0312	0.1207	0.8375
PLAIN-56	0.6792	0.1000	0.1000	0.1200			1.0000	0.8000	0.5000	0.0000	0.0968	0.1200	0.3572
PLAIN-68	0.4746	0.0364	0.0545	0.1636			1.0000	0.4000	0.2000	0.0000	0.0595	0.1455	0.6264
PLAIN-78	0.1274	0.0161	0.0161	0.0968			1.0000	0.2000	0.1000	0.0000	0.0211	0.0645	0.8000
PLAIN-91	0.5557	0.0938	0.1406	0.2813			1.0000	0.6000	0.6000	0.0000	0.1290	0.2031	0.3855
PLAIN-102	0.1395	0.0417	0.0417	0.0417			0.2500	0.2000	0.1000	0.0000	0.0104	0.0417	0.8976
PLAIN-112	0.4027	0.0357	0.0357	0.0893			1.0000	0.4000	0.2000	0.0000	0.0315	0.0714	0.6975
PLAIN-123	0.0549	0.0196	0.0196	0.0980			0.2500	0.2000	0.1000	0.0000	0.0098	0.0392	0.8973
PLAIN-133	0.0000	0.0000	0.0000	0.1111			0.0000	0.0000	0.0000	0.0000	0.0042	0.0278	0.9999
PLAIN-143	0.4393	0.0392	0.0588	0.0980			1.0000	0.2000	0.2000	0.0000	0.0332	0.0784	0.7274
PLAIN-153	0.5428	0.1064	0.2340	0.3830			1.0000	0.6000	0.5000	0.0000	0.2185	0.3617	0.4252
PLAIN-165	0.3315	0.1111	0.2222	0.3333			0.5000	0.6000	0.4000	0.0000	0.1304	0.2222	0.5644
PLAIN-175	0.3686	0.0811	0.0811	0.0811			1.0000	0.6000	0.3000	0.0000	0.0811	0.0811	0.5120
PLAIN-186	0.1100	0.0417	0.0417	0.0417			0.3333	0.2000	0.1000	0.0000	0.0139	0.0417	0.8720
PLAIN-196	0.6055	0.0725	0.0870	0.1014			1.0000	0.6000	0.5000	0.0000	0.0668	0.0870	0.4108
PLAIN-207	0.4925	0.0909	0.1636	0.2909			0.5000	0.8000	0.5000	0.0000	0.1326	0.2364	0.4452
PLAIN-217	0.0000	0.0000	0.0000	0.1389			0.0000	0.0000	0.0000	0.0000	0.0057	0.0000	1.0000
PLAIN-227	0.2201	0.0250	0.0250	0.0250			1.0000	0.2000	0.1000	0.0000	0.0250	0.0250	0.8000
PLAIN-238	0.0000	0.0000	0.0185	0.0741			0.0000	0.0000	0.0000	0.0000	0.0037	0.0185	0.9890
PLAIN-248	0.3149	0.0645	0.1935	0.3548			1.0000	0.4000	0.2000	0.0000	0.1171	0.2258	0.6569
PLAIN-259	0.3590	0.1429	0.2143	0.2857			1.0000	0.4000	0.2000	0.0000	0.1604	0.1429	0.6330
PLAIN-270	0.0948	0.0192	0.0577	0.2500			0.2500	0.2000	0.1000	0.0000	0.0360	0.1154	0.8817
PLAIN-280	0.4537	0.1500	0.2500	0.4000			1.0000	0.6000	0.3000	0.0000	0.1906	0.2500	0.5024
PLAIN-291	0.2201	0.0769	0.0769	0.2308			1.0000	0.2000	0.1000	0.0000	0.0861	0.0769	0.7985
PLAIN-307	0.4162	0.6667	1.0000	1.0000			0.3333	0.4000	0.2000	0.0000	0.3354	0.3333	0.7686
PLAIN-320	0.0000	0.0000	0.0000	0.1429			0.0000	0.0000	0.0000	0.0000	0.0096	0.0476	0.9976
PLAIN-332	0.3869	0.5000	0.5000	0.5000			0.5000	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400
PLAIN-344	0.3473	0.0492	0.0656	0.0984			1.0000	0.4000	0.3000	0.0000	0.0425	0.0820	0.6205
PLAIN-358	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-371	0.4098	1.0000	1.0000	1.0000			0.3333	0.2000	0.2000	1.0000	0.2667	0.0000	0.8452
PLAIN-383	0.1021	0.2000	0.2000	0.2000			0.1111	0.0000	0.1000	0.0000	0.0222	0.0000	0.9664
PLAIN-395	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-407	0.6388	0.3333	0.3333	0.6667			1.0000	0.2000	0.1000	0.0000	0.3439	0.3333	0.8000
PLAIN-418	0.2057	0.3333	0.3333	0.6667			0.2000	0.2000	0.1000	0.0000	0.0838	0.0000	0.9180
PLAIN-430	0.5974	0.3750	0.3750	0.6250			1.0000	0.6000	0.3000	0.0000	0.3658	0.3750	0.5375
PLAIN-441	0.8590	0.8000	1.0000	1.0000			1.0000	0.4000	0.4000	0.0000	0.6909	0.4000	0.5110
PLAIN-457	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
