query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
q-001	0.6662	0.6000	1.0000	1.0000			1.0000	0.4000	0.3000	0.0000	0.6418	0.4000	0.5489
q-002	0.1480	0.3333	0.6667	0.6667			0.1250	0.0000	0.1000	0.0000	0.0750	0.0000	0.9552
q-003	0.0000	0.0000	0.3333	1.0000			0.0000	0.0000	0.0000	0.0000	0.0511	0.0000	0.9964
q-004	0.8208	0.8000	1.0000	1.0000			1.0000	0.6000	0.4000	0.0000	0.7709	0.6000	0.4637
q-005	0.4685	1.0000	1.0000	1.0000			0.2500	0.2000	0.2000	1.0000	0.2679	0.0000	0.8452
q-006	0.2463	0.2500	0.7500	1.0000			0.5000	0.2000	0.1000	0.0000	0.2679	0.2500	0.8095
q-007	0.8855	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.7556	0.6667	0.5901
q-008	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
q-010	0.7586	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5278	0.3333	0.7245
q-011	0.5854	1.0000	1.0000	1.0000			0.5000	0.2000	0.3000	1.0000	0.3611	0.3333	0.7645
q-012	0.6257	1.0000	1.0000	1.0000			0.5000	0.4000	0.3000	1.0000	0.4250	0.3333	0.7161
q-013	0.4693	0.3333	0.6667	1.0000			1.0000	0.2000	0.1000	0.0000	0.4053	0.3333	0.7928
q-014	0.3152	0.6667	0.6667	0.6667			0.1667	0.0000	0.2000	0.0000	0.1389	0.0000	0.8925
q-015	0.0000	0.0000	1.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0913	0.0000	0.9845
q-016	0.6509	1.0000	1.0000	1.0000			0.5000	0.4000	0.2000	1.0000	0.5000	0.5000	0.7376
q-017	0.0000	0.0000	0.5000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0550	0.0000	0.9828
q-018	0.5856	0.5000	0.7500	1.0000			1.0000	0.4000	0.2000	0.0000	0.4827	0.5000	0.6690
q-019	0.0000	0.0000	0.0000	0.6667			0.0000	0.0000	0.0000	0.0000	0.0278	0.0000	0.9997
q-020	0.3869	0.5000	0.5000	0.5000			0.5000	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400
q-021	0.0000	0.0000	0.2500	0.7500			0.0000	0.0000	0.0000	0.0000	0.0521	0.0000	0.9776
q-022	0.0000	0.0000	0.5000	1.0000			0.0000	0.0000	0.0000	0.0000	0.1227	0.0000	0.9778
q-023	0.7929	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5873	0.3333	0.6820
q-024	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
q-025	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0055	0.0000	1.0000
q-026	0.1696	0.2000	0.4000	0.8000			0.3333	0.2000	0.1000	0.0000	0.1146	0.2000	0.8664
