query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
hu-001	0.1128	0.2500	0.2500	0.5000			0.1000	0.0000	0.1000	0.0000	0.0315	0.0000	0.9732	5	10	10	inflected-form		
hu-002	0.9469	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8667	0.6667	0.5581	5	10	10	inflected-form		
hu-003	0.7757	0.7500	0.7500	0.7500			1.0000	0.4000	0.3000	0.0000	0.6250	0.5000	0.5745	5	10	10	inflected-form		
hu-004	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0267	0.0000	0.9987	5	10	10	inflected-form		
hu-005	0.0000	0.0000	0.0000	0.2500			0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	1.0000	5	10	10	inflected-form		
hu-006	0.3183	0.5000	0.5000	1.0000			0.3333	0.2000	0.2000	0.0000	0.1911	0.2500	0.8299	5	10	10	inflected-form		
hu-007	0.2983	0.5000	1.0000	1.0000			0.2500	0.2000	0.2000	0.0000	0.2577	0.2500	0.8192	5	10	10	inflected-form		
hu-008	0.6548	0.6000	0.6000	1.0000			1.0000	0.6000	0.3000	0.0000	0.5216	0.6000	0.5695	5	10	10	inflected-form		
hu-009	0.3904	0.2500	0.2500	0.7500			1.0000	0.2000	0.1000	0.0000	0.2737	0.2500	0.8000	5	10	10	inflected-form		
hu-010	0.1952	0.2500	0.2500	1.0000			0.3333	0.2000	0.1000	0.0000	0.1288	0.2500	0.8712	5	10	10	inflected-form		
hu-011	0.6053	1.0000	1.0000	1.0000			0.5000	0.2000	0.2000	1.0000	0.4167	0.5000	0.7745	5	10	10	exact-keyword		knowledge
hu-012	0.9896	1.0000	1.0000	1.0000			1.0000	0.8000	0.5000	1.0000	0.9667	0.8000	0.3441	5	10	10	exact-keyword		
hu-013	0.8385	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6667	0.3333	0.6321	5	10	10	exact-keyword		
hu-014	0.4849	0.6667	0.8333	1.0000			0.3333	0.4000	0.4000	0.0000	0.4151	0.5000	0.6465	5	10	10	exact-keyword		
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5	10	10	rare-technical-token		
hu-016	0.7977	1.0000	1.0000	1.0000			1.0000	0.2000	0.2000	1.0000	0.6111	0.5000	0.7664	5	10	10	rare-technical-token		
hu-017	0.8175	1.0000	1.0000	1.0000			1.0000	0.2000	0.2000	1.0000	0.6429	0.5000	0.7476	5	10	10	rare-technical-token		
hu-018	0.9362	1.0000	1.0000	1.0000			1.0000	0.8000	0.6000	1.0000	0.8306	0.8333	0.3633	5	10	10	rare-technical-token		
hu-019	0.6601	0.6000	0.8000	1.0000			1.0000	0.4000	0.3000	0.0000	0.5774	0.4000	0.5804	5	10	10	multi-word-phrase	docs	
hu-020	0.6979	1.0000	1.0000	1.0000			0.5000	0.4000	0.3000	1.0000	0.5556	0.6667	0.6465	5	10	10	multi-word-phrase		
hu-021	0.9047	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	0.8042	0.7500	0.4877	5	10	10	multi-word-phrase		
hu-022	0.3904	0.2500	0.5000	1.0000			1.0000	0.2000	0.1000	0.0000	0.3490	0.2500	0.7781	5	10	10	multi-word-phrase		
hu-023	0.1952	0.2500	0.2500	0.7500			0.3333	0.2000	0.1000	0.0000	0.0977	0.2500	0.8720	5	10	10	synonym		
hu-024	0.2463	0.2500	0.5000	0.7500			0.5000	0.2000	0.1000	0.0000	0.1782	0.2500	0.8185	5	10	10	synonym		
hu-025	0.5110	1.0000	1.0000	1.0000			0.3333	0.2000	0.2000	1.0000	0.3095	0.0000	0.8196	5	10	10	synonym		
hu-026	0.1510	0.2500	0.5000	0.7500			0.2000	0.2000	0.1000	0.0000	0.1099	0.0000	0.9042	5	10	10	domain-filtered	docs	knowledge
hu-027	0.9325	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.8333	0.6667	0.5745	5	10	10	domain-filtered	docs	knowledge
hu-028	0.0000	0.0000	0.0000	0.6000			0.0000	0.0000	0.0000	0.0000	0.0240	0.0000	0.9995	5	10	10	production-shaped-long-form		
hu-029	0.4415	0.5000	0.5000	1.0000			0.5000	0.4000	0.2000	0.0000	0.3351	0.5000	0.7114	5	10	10	production-shaped-long-form		
hu-030	0.5590	0.7500	0.7500	1.0000			0.5000	0.4000	0.3000	0.0000	0.4135	0.5000	0.6777	5	10	10	production-shaped-long-form		
hu-031	0.6367	0.5000	0.5000	0.7500			1.0000	0.4000	0.2000	0.0000	0.5357	0.5000	0.6377	5	10	10	production-shaped-long-form		
