query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10
PLAIN-2	0.7646	0.2917	0.4167	0.6667			1.0000	0.8000	0.7000	0.0000	0.4272	0.4583	0.2467	5	10	10
PLAIN-12	0.0871	0.0333	0.0333	0.0667			0.1667	0.0000	0.1000	0.0000	0.0067	0.0333	0.9345	5	10	10
PLAIN-23	0.5355	0.0667	0.0778	0.1000			1.0000	1.0000	0.6000	0.0000	0.0757	0.1000	0.2550	5	10	10
PLAIN-33	0.0810	0.0313	0.0313	0.1875			0.1667	0.0000	0.1000	0.0000	0.0130	0.0313	0.9345	5	10	10
PLAIN-44	0.2548	0.0172	0.0172	0.2069			1.0000	0.2000	0.1000	0.0000	0.0377	0.0862	0.7984	5	10	10
PLAIN-56	0.6792	0.1000	0.1000	0.1200			1.0000	0.8000	0.5000	0.0000	0.0963	0.1000	0.3572	5	10	10
PLAIN-68	0.4746	0.0364	0.0545	0.1636			1.0000	0.4000	0.2000	0.0000	0.0608	0.1455	0.6255	5	10	10
PLAIN-78	0.1274	0.0161	0.0161	0.0968			1.0000	0.2000	0.1000	0.0000	0.0212	0.0645	0.8000	5	10	10
PLAIN-91	0.5578	0.0938	0.1406	0.2813			1.0000	0.6000	0.6000	0.0000	0.1325	0.2031	0.3731	5	10	10
PLAIN-102	0.1395	0.0417	0.0417	0.0417			0.2500	0.2000	0.1000	0.0000	0.0104	0.0417	0.8976	5	10	10
PLAIN-112	0.4591	0.0357	0.0357	0.0893			1.0000	0.4000	0.2000	0.0000	0.0398	0.0714	0.6400	5	10	10
PLAIN-123	0.0402	0.0196	0.0196	0.0980			0.1250	0.0000	0.1000	0.0000	0.0067	0.0392	0.9580	5	10	10
PLAIN-133	0.0000	0.0000	0.0000	0.1111			0.0000	0.0000	0.0000	0.0000	0.0044	0.0000	1.0000	5	10	10
PLAIN-143	0.4393	0.0392	0.0588	0.0980			1.0000	0.2000	0.2000	0.0000	0.0331	0.0784	0.7274	5	10	10
PLAIN-153	0.5460	0.1064	0.2340	0.3617			1.0000	0.6000	0.5000	0.0000	0.2071	0.3617	0.4213	5	10	10
PLAIN-165	0.3702	0.1389	0.2222	0.3333			0.5000	0.4000	0.5000	0.0000	0.1322	0.2222	0.5702	5	10	10
PLAIN-175	0.3686	0.0811	0.0811	0.0811			1.0000	0.6000	0.3000	0.0000	0.0811	0.0811	0.5120	5	10	10
PLAIN-186	0.0948	0.0417	0.0417	0.0417			0.2500	0.2000	0.1000	0.0000	0.0104	0.0417	0.8976	5	10	10
PLAIN-196	0.6055	0.0725	0.0870	0.1014			1.0000	0.6000	0.5000	0.0000	0.0666	0.0870	0.4126	5	10	10
PLAIN-207	0.4951	0.0909	0.1636	0.2727			0.5000	0.8000	0.5000	0.0000	0.1296	0.2364	0.4369	5	10	10
PLAIN-217	0.0000	0.0000	0.0000	0.1667			0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	1.0000	5	10	10
PLAIN-227	0.2201	0.0250	0.0250	0.0250			1.0000	0.2000	0.1000	0.0000	0.0250	0.0250	0.8000	5	10	10
PLAIN-238	0.0000	0.0000	0.0185	0.0741			0.0000	0.0000	0.0000	0.0000	0.0038	0.0185	0.9863	5	10	10
PLAIN-248	0.3149	0.0645	0.2258	0.3548			1.0000	0.4000	0.2000	0.0000	0.1202	0.2258	0.6511	5	10	10
PLAIN-259	0.3590	0.1429	0.2143	0.2857			1.0000	0.4000	0.2000	0.0000	0.1582	0.1429	0.6364	5	10	10
PLAIN-270	0.0948	0.0192	0.0577	0.2500			0.2500	0.2000	0.1000	0.0000	0.0358	0.1154	0.8817	5	10	10
PLAIN-280	0.4537	0.1500	0.2500	0.4000			1.0000	0.6000	0.3000	0.0000	0.1848	0.2500	0.5116	5	10	10
PLAIN-291	0.2201	0.0769	0.0769	0.2308			1.0000	0.2000	0.1000	0.0000	0.0859	0.0769	0.7988	5	10	10
PLAIN-307	0.5518	1.0000	1.0000	1.0000			0.3333	0.4000	0.3000	1.0000	0.3444	0.3333	0.7632	5	10	10
PLAIN-320	0.0000	0.0000	0.0000	0.1429			0.0000	0.0000	0.0000	0.0000	0.0096	0.0714	0.9984	5	10	10
PLAIN-332	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0179	0.0000	0.9995	5	10	10
PLAIN-344	0.2795	0.0492	0.0656	0.0984			0.5000	0.4000	0.3000	0.0000	0.0319	0.0820	0.6821	5	10	10
PLAIN-358	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5	10	10
PLAIN-371	0.1637	0.5000	1.0000	1.0000			0.2500	0.2000	0.1000	0.0000	0.2159	0.0000	0.8761	5	10	10
PLAIN-383	0.1070	0.2000	0.2000	0.2000			0.1250	0.0000	0.1000	0.0000	0.0250	0.0000	0.9581	5	10	10
PLAIN-395	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5	10	10
PLAIN-407	0.6388	0.3333	0.3333	0.6667			1.0000	0.2000	0.1000	0.0000	0.3434	0.3333	0.8000	5	10	10
PLAIN-418	0.2057	0.3333	0.3333	0.6667			0.2000	0.2000	0.1000	0.0000	0.0822	0.0000	0.9181	5	10	10
PLAIN-430	0.6175	0.3750	0.3750	0.6250			1.0000	0.6000	0.3000	0.0000	0.3972	0.3750	0.5119	5	10	10
PLAIN-441	0.8590	0.8000	1.0000	1.0000			1.0000	0.4000	0.4000	0.0000	0.6909	0.4000	0.5110	5	10	10
PLAIN-457	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5	10	10
PLAIN-468	0.2773	0.2000	0.2000	0.7000			0.3333	0.2000	0.2000	0.0000	0.1272	0.2000	0.8056	5	10	10
PLAIN-478	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5	10	10
PLAIN-488	0.9306	0.6000	0.7333	0.8000			1.0000	1.0000	0.9000	0.0000	0.7156	0.7333	0.1107	5	10	10
PLAIN-499	0.2900	0.0882	0.1176	0.1176			0.3333	0.6000	0.3000	0.0000	0.0506	0.1176	0.6767	5	10	10
PLAIN-510	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000			
PLAIN-520	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000			
PLAIN-531	0.3169	0.0130	0.0227	0.0909			0.2500	0.4000	0.4000	0.0000	0.0293		0.7016	5	10	10
PLAIN-541	0.1009	0.1667	0.5000	0.5000			0.1429	0.0000	0.1000	0.0000	0.0773	0.0000	0.9317	5	10	10
PLAIN-551	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000			
PLAIN-561	0.3590	0.0800	0.0800	0.0800			1.0000	0.4000	0.2000	0.0000	0.0800	0.0800	0.6400			
PLAIN-571	0.2558	0.2857	0.2857	0.2857			0.3333	0.4000	0.2000	0.0000	0.1190	0.2857	0.7696	5		
PLAIN-583	0.2201	0.0227	0.0227	0.0227			1.0000	0.2000	0.1000	0.0000	0.0227	0.0227	0.8000			
PLAIN-593	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000			
PLAIN-603	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000			
PLAIN-613	0.0000	0.0000	0.1000	0.1000			0.0000	0.0000	0.0000	0.0000	0.0083	0.0000	0.9828	5	10	10
PLAIN-623	0.3223	0.0732	0.0732	0.1463			0.5000	0.4000	0.3000	0.0000	0.0488	0.1220	0.6580	5	10	10
