query_id	ndcg10	recall10	recall100	mrr10
0	0.0000	0.0000	0.0000	0.0000
1	0.5000	1.0000	1.0000	0.3333
2	0.0000	0.0000	0.5000	0.0000
3	0.9197	1.0000	1.0000	1.0000
4	1.0000	1.0000	1.0000	1.0000
5	0.9197	1.0000	1.0000	1.0000
6	0.0000	0.0000	0.0000	0.0000
7	1.0000	1.0000	1.0000	1.0000
8	0.0000	0.0000	0.0000	0.0000
9	0.4486	1.0000	1.0000	0.2500
10	0.1934	0.5000	0.5000	0.1250
11	0.4525	0.6667	0.6667	0.5000
12	0.2184	0.5000	0.5000	0.1667
13	0.2639	0.5000	0.7500	0.2000
14	0.6131	0.5000	0.5000	1.0000
15	0.0000	0.0000	0.0000	0.0000
16	0.0000	0.0000	0.0000	0.0000
17	0.0000	0.0000	0.0000	0.0000
18	0.0000	0.0000	1.0000	0.0000
19	0.5000	1.0000	1.0000	0.3333
20	0.8603	1.0000	1.0000	1.0000
21	0.5307	0.6667	0.6667	0.5000
22	0.0000	0.0000	0.0000	0.0000
23	0.0000	0.0000	0.0000	0.0000
24	0.3562	1.0000	1.0000	0.1667
25	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.0000	1.0000	0.0000
27	0.1480	0.3333	0.3333	0.1250
28	0.4307	1.0000	1.0000	0.2500
29	0.3562	1.0000	1.0000	0.1667
30	0.8772	1.0000	1.0000	1.0000
31	0.5000	1.0000	1.0000	0.3333
32	0.0000	0.0000	0.0000	0.0000
33	0.6309	1.0000	1.0000	0.5000
34	0.0000	0.0000	0.0000	0.0000
35	0.0000	0.0000	0.0000	0.0000
36	0.2891	1.0000	1.0000	0.1000
37	0.0000	0.0000	0.0000	0.0000
38	0.3333	1.0000	1.0000	0.1429
39	0.3155	1.0000	1.0000	0.1250
40	0.0000	0.0000	0.0000	0.0000
41	0.3869	1.0000	1.0000	0.2000
42	0.6309	1.0000	1.0000	0.5000
43	0.0000	0.0000	0.0000	0.0000
44	0.0000	0.0000	0.0000	0.0000
45	0.0000	0.0000	0.0000	0.0000
46	0.0000	0.0000	0.0000	0.0000
47	0.0000	0.0000	0.0000	0.0000
48	0.0000	0.0000	0.0000	0.0000
49	0.0000	0.0000	0.0000	0.0000
50	0.0000	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000	0.0000
52	0.0000	0.0000	0.0000	0.0000
53	0.0000	0.0000	1.0000	0.0000
54	1.0000	1.0000	1.0000	1.0000
55	0.3010	1.0000	1.0000	0.1111
56	0.0000	0.0000	0.0000	0.0000
57	0.5000	1.0000	1.0000	0.3333
58	1.0000	1.0000	1.0000	1.0000
59	0.0000	0.0000	0.0000	0.0000
60	0.0000	0.0000	0.0000	0.0000
61	0.0000	0.0000	1.0000	0.0000
62	0.3010	1.0000	1.0000	0.1111
63	0.4307	1.0000	1.0000	0.2500
64	0.3333	1.0000	1.0000	0.1429
65	0.2184	0.5000	0.5000	0.1667
66	1.0000	1.0000	1.0000	1.0000
67	0.0000	0.0000	0.0000	0.0000
68	0.0000	0.0000	0.0000	0.0000
69	0.4307	1.0000	1.0000	0.2500
70	0.0000	0.0000	1.0000	0.0000
71	1.0000	1.0000	1.0000	1.0000
72	0.1846	0.5000	1.0000	0.1111
73	0.0000	0.0000	0.0000	0.0000
74	0.4307	1.0000	1.0000	0.2500
75	0.0000	0.0000	0.0000	0.0000
76	0.0000	0.0000	0.0000	0.0000
77	0.0000	0.0000	0.0000	0.0000
78	0.6309	1.0000	1.0000	0.5000
79	0.0000	0.0000	1.0000	0.0000
80	0.0000	0.0000	0.0000	0.0000
81	0.0000	0.0000	0.0000	0.0000
82	0.0000	0.0000	0.0000	0.0000
83	1.0000	1.0000	1.0000	1.0000
84	1.0000	1.0000	1.0000	1.0000
85	0.0000	0.0000	0.0000	0.0000
86	0.6309	1.0000	1.0000	0.5000
87	0.0000	0.0000	1.0000	0.0000
88	0.0000	0.0000	1.0000	0.0000
89	0.0000	0.0000	0.0000	0.0000
90	0.0000	0.0000	1.0000	0.0000
91	0.0000	0.0000	0.0000	0.0000
92	1.0000	1.0000	1.0000	1.0000
93	0.0000	0.0000	1.0000	0.0000
94	0.0000	0.0000	1.0000	0.0000
95	0.6309	1.0000	1.0000	0.5000
96	0.3333	1.0000	1.0000	0.1429
97	1.0000	1.0000	1.0000	1.0000
98	0.3869	1.0000	1.0000	0.2000
99	0.3010	1.0000	1.0000	0.1111
100	1.0000	1.0000	1.0000	1.0000
101	0.6309	1.0000	1.0000	0.5000
102	0.0000	0.0000	0.0000	0.0000
