query_id	ndcg10	recall10	recall100	mrr10
0	0.0000	0.0000	0.0000	0.0000
1	0.0000	0.0000	0.1667	0.0000
2	0.0000	0.0000	0.0000	0.0000
3	0.8772	1.0000	1.0000	1.0000
4	0.7530	1.0000	1.0000	1.0000
5	0.3854	0.5000	0.5000	0.5000
6	0.0000	0.0000	0.0000	0.0000
7	0.6364	0.6667	0.6667	1.0000
8	0.0000	0.0000	0.0000	0.0000
9	0.1303	0.1667	0.5000	0.2500
10	0.7654	0.6667	0.6667	1.0000
11	0.1131	0.2000	0.2000	0.1429
12	0.0000	0.0000	0.2500	0.0000
13	0.5334	0.3846	0.6923	1.0000
14	0.4483	0.2857	0.5714	1.0000
15	0.0000	0.0000	0.0000	0.0000
16	0.0000	0.0000	1.0000	0.0000
17	0.0875	0.1667	0.3333	0.1000
18	0.0000	0.0000	0.0000	0.0000
19	0.6309	1.0000	1.0000	0.5000
20	0.6992	0.6000	0.8000	1.0000
21	0.1909	0.1667	0.6667	0.5000
22	0.0000	0.0000	0.0000	0.0000
23	0.0000	0.0000	0.0000	0.0000
24	0.1672	0.3333	0.6667	0.1667
25	0.0000	0.0000	0.3333	0.0000
26	0.0000	0.0000	1.0000	0.0000
27	0.0000	0.0000	0.0000	0.0000
28	1.0000	1.0000	1.0000	1.0000
29	0.3869	0.5000	0.5000	0.5000
30	0.3026	0.1667	0.6667	1.0000
31	0.1413	0.3333	1.0000	0.1111
32	0.0000	0.0000	0.0000	0.0000
33	0.2641	0.5000	1.0000	0.2500
34	0.0000	0.0000	0.1667	0.0000
35	0.0000	0.0000	0.0000	0.0000
36	0.3010	1.0000	1.0000	0.1111
37	0.0000	0.0000	0.0000	0.0000
38	0.1357	0.3333	1.0000	0.1000
39	0.0000	0.0000	0.5000	0.0000
40	0.0000	0.0000	0.0000	0.0000
41	0.7039	0.6667	0.6667	1.0000
42	0.0000	0.0000	0.5000	0.0000
43	0.0000	0.0000	0.0000	0.0000
44	0.0000	0.0000	0.0000	0.0000
45	0.0000	0.0000	0.0000	0.0000
46	0.0000	0.0000	0.0000	0.0000
47	0.0000	0.0000	0.0000	0.0000
48	0.0000	0.0000	0.0000	0.0000
49	0.0000	0.0000	0.0000	0.0000
50	0.0000	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000	0.0000
52	0.2961	0.3333	0.6667	0.5000
53	0.0000	0.0000	0.0000	0.0000
54	0.3759	0.6667	0.6667	0.3333
55	0.1564	0.3333	0.3333	0.1429
56	0.0000	0.0000	1.0000	0.0000
57	0.5205	0.5000	0.7500	1.0000
58	0.4693	0.3333	0.6667	1.0000
59	0.0000	0.0000	0.0000	0.0000
60	0.0000	0.0000	0.3333	0.0000
61	0.5294	0.5000	0.7500	1.0000
62	0.1413	0.3333	1.0000	0.1111
63	0.1232	0.2500	0.2500	0.1250
64	0.0000	0.0000	0.5000	0.0000
65	0.1303	0.1667	0.1667	0.2500
66	0.2529	0.1250	0.2500	1.0000
67	0.0000	0.0000	0.0000	0.0000
68	0.0000	0.0000	0.0000	0.0000
69	0.1952	0.2500	0.7500	0.3333
70	0.0000	0.0000	0.0000	0.0000
71	0.3904	0.2500	0.5000	1.0000
72	0.0000	0.0000	0.7000	0.0000
73	0.0000	0.0000	0.0000	0.0000
74	0.1681	0.2500	0.7500	0.2500
75	0.0000	0.0000	0.0000	0.0000
76	0.0000	0.0000	0.0000	0.0000
77	0.0000	0.0000	0.0000	0.0000
78	0.6364	0.6667	1.0000	1.0000
79	0.0000	0.0000	0.4000	0.0000
80	0.0000	0.0000	0.0000	0.0000
81	0.0000	0.0000	0.0000	0.0000
82	0.0000	0.0000	0.0000	0.0000
83	1.0000	1.0000	1.0000	1.0000
84	0.3904	0.2500	0.7500	1.0000
85	0.0000	0.0000	0.0000	0.0000
86	0.8487	0.8333	1.0000	1.0000
87	0.0000	0.0000	0.5000	0.0000
88	0.0000	0.0000	0.3333	0.0000
89	0.0000	0.0000	0.6667	0.0000
90	0.0000	0.0000	0.0000	0.0000
91	0.0000	0.0000	0.2500	0.0000
92	0.6131	0.5000	0.5000	1.0000
93	0.0000	0.0000	0.0000	0.0000
94	0.3904	0.2500	0.5000	1.0000
95	0.3869	0.5000	1.0000	0.5000
96	0.4118	1.0000	1.0000	0.1667
97	1.0000	1.0000	1.0000	1.0000
98	0.0000	0.0000	0.5000	0.0000
99	0.4018	0.6667	1.0000	0.3333
100	0.2641	0.5000	1.0000	0.2500
101	0.0000	0.0000	0.0000	0.0000
102	0.0000	0.0000	0.0000	0.0000
