query_id	ndcg10	recall10	recall100	mrr10
PLAIN-2	0.7421	0.2500	0.7083	1.0000
PLAIN-12	0.0815	0.0333	0.0333	0.1429
PLAIN-23	0.6751	0.0889	0.1222	1.0000
PLAIN-33	0.0879	0.0313	0.1250	0.2000
PLAIN-44	0.1608	0.0172	0.1724	0.5000
PLAIN-56	0.6976	0.1000	0.1200	1.0000
PLAIN-68	0.4746	0.0364	0.2182	1.0000
PLAIN-78	0.0804	0.0161	0.0645	0.5000
PLAIN-91	0.5540	0.0938	0.2813	1.0000
PLAIN-102	0.1253	0.0417	0.0417	0.2000
PLAIN-112	0.4222	0.0357	0.0893	1.0000
PLAIN-123	0.0549	0.0196	0.0784	0.2500
PLAIN-133	0.0000	0.0000	0.1111	0.0000
PLAIN-143	0.3239	0.0196	0.0980	1.0000
PLAIN-153	0.5619	0.1064	0.3830	1.0000
PLAIN-165	0.3138	0.1111	0.3333	0.5000
PLAIN-175	0.3686	0.0811	0.1081	1.0000
PLAIN-186	0.1389	0.0417	0.0417	0.5000
PLAIN-196	0.6691	0.0870	0.1014	1.0000
PLAIN-207	0.4983	0.0909	0.3091	0.5000
PLAIN-217	0.0000	0.0000	0.0278	0.0000
PLAIN-227	0.1389	0.0250	0.0250	0.5000
PLAIN-238	0.0851	0.0185	0.0556	0.2000
PLAIN-248	0.3882	0.0968	0.3548	1.0000
PLAIN-259	0.3590	0.1429	0.2857	1.0000
PLAIN-270	0.0948	0.0192	0.2500	0.2500
PLAIN-280	0.4537	0.1500	0.4000	1.0000
PLAIN-291	0.3590	0.1538	0.2308	1.0000
PLAIN-307	0.6133	1.0000	1.0000	0.5000
PLAIN-320	0.0000	0.0000	0.1429	0.0000
PLAIN-332	0.6131	0.5000	0.5000	1.0000
PLAIN-344	0.2980	0.0492	0.0984	1.0000
PLAIN-358	0.0000	0.0000	0.0000	0.0000
PLAIN-371	0.3801	0.5000	1.0000	1.0000
PLAIN-383	0.0000	0.0000	0.2000	0.0000
PLAIN-395	0.0000	0.0000	0.0000	0.0000
PLAIN-407	0.6388	0.3333	0.6667	1.0000
PLAIN-418	0.7975	0.6667	0.6667	1.0000
PLAIN-430	0.5847	0.3750	0.7500	1.0000
PLAIN-441	0.8558	0.8000	1.0000	1.0000
PLAIN-457	0.0000	0.0000	0.0000	0.0000
PLAIN-468	0.2549	0.2000	0.7000	0.2500
PLAIN-478	0.0000	0.0000	0.0000	0.0000
PLAIN-488	0.9337	0.6000	0.7333	1.0000
PLAIN-499	0.2583	0.0882	0.1471	0.2500
PLAIN-510	0.0000	0.0000	0.0000	0.0000
PLAIN-520	0.0000	0.0000	0.0000	0.0000
PLAIN-531	0.2533	0.0097	0.0844	0.2500
PLAIN-541	0.0955	0.1667	0.5000	0.1250
PLAIN-551	0.0000	0.0000	0.0000	0.0000
PLAIN-561	0.3590	0.0800	0.0800	1.0000
PLAIN-571	0.2558	0.2857	0.2857	0.3333
PLAIN-583	0.2201	0.0227	0.0227	1.0000
PLAIN-593	0.4693	0.3333	0.3333	1.0000
PLAIN-603	0.0000	0.0000	0.0000	0.0000
PLAIN-613	0.0734	0.1000	0.1000	0.1429
PLAIN-623	0.3183	0.0732	0.1463	0.5000
PLAIN-634	0.4085	0.1429	0.1429	1.0000
PLAIN-645	0.0000	0.0000	0.0000	0.0000
PLAIN-660	1.0000	0.0211	0.0674	1.0000
PLAIN-671	1.0000	1.0000	1.0000	1.0000
PLAIN-681	1.0000	1.0000	1.0000	1.0000
PLAIN-691	0.0000	0.0000	0.0476	0.0000
PLAIN-701	0.6013	0.5000	0.5000	1.0000
PLAIN-711	0.3590	0.0351	0.0526	1.0000
PLAIN-721	1.0000	0.4000	0.7200	1.0000
PLAIN-731	0.8630	0.1481	0.4444	1.0000
PLAIN-741	0.8486	0.4211	0.4211	1.0000
PLAIN-751	0.0000	0.0000	0.0000	0.0000
PLAIN-761	0.1513	0.1667	0.1667	0.3333
PLAIN-771	1.0000	1.0000	1.0000	1.0000
PLAIN-782	0.0000	0.0000	0.0000	0.0000
PLAIN-792	0.6448	0.5000	0.5000	1.0000
PLAIN-806	0.8580	0.0833	0.2604	1.0000
PLAIN-817	0.0000	0.0000	0.0000	0.0000
PLAIN-827	0.7511	0.0328	0.1926	1.0000
PLAIN-838	0.8551	0.7778	0.7778	1.0000
PLAIN-850	0.6489	0.0877	0.0877	1.0000
PLAIN-872	0.0000	0.0000	0.0000	0.0000
PLAIN-882	0.3590	0.1333	0.1333	1.0000
PLAIN-892	0.8701	0.0870	0.0870	1.0000
PLAIN-902	0.6367	0.5000	0.5000	1.0000
PLAIN-913	0.8701	0.2353	0.2647	1.0000
PLAIN-924	0.2201	0.0313	0.0313	1.0000
PLAIN-934	0.8263	0.0792	0.3564	1.0000
PLAIN-946	0.3149	0.0645	0.0645	1.0000
PLAIN-956	0.4865	0.0291	0.1796	0.3333
PLAIN-966	0.1413	0.3333	0.3333	0.1111
PLAIN-977	0.0000	0.0000	0.3333	0.0000
PLAIN-987	0.2346	0.3333	0.3333	0.3333
PLAIN-997	0.0000	0.0000	0.0000	0.0000
PLAIN-1008	0.0000	0.0000	0.0000	0.0000
PLAIN-1018	0.4826	0.1000	0.1333	0.3333
PLAIN-1028	0.0000	0.0000	0.0000	0.0000
PLAIN-1039	1.0000	1.0000	1.0000	1.0000
PLAIN-1050	0.0000	0.0000	0.0106	0.0000
PLAIN-1066	0.0000	0.0000	0.0000	0.0000
PLAIN-1088	0.5531	0.4000	0.4000	1.0000
PLAIN-1098	0.0000	0.0000	0.0000	0.0000
PLAIN-1109	0.4690	0.0306	0.1224	1.0000
PLAIN-1119	0.0000	0.0000	0.0000	0.0000
PLAIN-1130	1.0000	1.0000	1.0000	1.0000
PLAIN-1141	0.2201	0.0625	0.1875	1.0000
PLAIN-1151	0.5712	0.0392	0.1961	1.0000
PLAIN-1161	0.0000	0.0000	0.0000	0.0000
PLAIN-1172	0.2201	0.0526	0.0526	1.0000
PLAIN-1183	0.2985	0.0800	0.0800	1.0000
PLAIN-1193	0.0636	0.0556	0.4444	0.1000
PLAIN-1203	0.3590	0.1667	0.1667	1.0000
PLAIN-1214	0.0000	0.0000	0.0000	0.0000
PLAIN-1225	0.5364	0.2222	0.3704	0.5000
PLAIN-1236	0.3392	0.2000	0.2000	1.0000
PLAIN-1249	0.0000	0.0000	0.0000	0.0000
PLAIN-1262	0.3223	0.3000	0.3000	0.5000
PLAIN-1275	0.5424	0.0727	0.1455	1.0000
PLAIN-1288	0.8205	0.0408	0.0765	1.0000
PLAIN-1299	0.1610	0.0328	0.0656	0.2500
PLAIN-1309	0.0000	0.0000	0.0000	0.0000
PLAIN-1320	0.4290	0.5000	0.5000	0.5000
PLAIN-1331	0.0000	0.0000	0.0000	0.0000
PLAIN-1342	0.3273	0.1875	0.3125	0.5000
PLAIN-1353	0.0000	0.0000	0.0000	0.0000
PLAIN-1363	0.2201	0.0909	0.0909	1.0000
PLAIN-1374	0.0000	0.0000	0.3077	0.0000
PLAIN-1387	0.7126	0.5000	0.6667	1.0000
