query_id	ndcg10	recall10	recall100	mrr10
q-001	0.8503	1.0000	1.0000	1.0000
q-002	0.7039	0.6667	0.6667	1.0000
q-003	0.5239	1.0000	1.0000	0.3333
q-004	0.3787	0.6000	1.0000	0.3333
q-005	0.4228	1.0000	1.0000	0.1667
q-006	0.8486	1.0000	1.0000	1.0000
q-007	0.5833	1.0000	1.0000	0.3333
q-008	0.5000	1.0000	1.0000	0.3333
q-009	0.5000	1.0000	1.0000	0.3333
q-010	0.7123	1.0000	1.0000	0.5000
q-011	0.9469	1.0000	1.0000	1.0000
q-012	0.3236	0.6667	1.0000	0.1667
q-013	0.4525	0.6667	1.0000	0.5000
q-014	0.3084	0.6667	0.6667	0.1667
q-015	0.0000	0.0000	1.0000	0.0000
q-016	0.6241	1.0000	1.0000	0.5000
q-017	0.5714	1.0000	1.0000	0.5000
q-018	0.6367	0.5000	1.0000	1.0000
q-019	0.4693	0.3333	0.6667	1.0000
q-020	0.3869	0.5000	0.5000	0.5000
q-021	0.0000	0.0000	0.7500	0.0000
q-022	0.5024	0.7500	1.0000	0.3333
q-023	0.4632	0.6667	1.0000	0.5000
q-024	0.0000	0.0000	0.0000	0.0000
q-025	0.0000	0.0000	0.0000	0.0000
q-026	0.1312	0.2000	0.4000	0.2000
q-027	0.1681	0.2500	1.0000	0.2500
q-028	0.1232	0.2500	1.0000	0.1250
q-029	0.4428	0.7500	1.0000	0.3333
q-030	1.0000	1.0000	1.0000	1.0000
q-031	0.3633	0.5000	1.0000	0.3333
q-032	0.0000	0.0000	1.0000	0.0000
q-033	0.2961	0.3333	0.6667	0.5000
q-034	0.0000	0.0000	1.0000	0.0000
q-035	0.0000	0.0000	1.0000	0.0000
q-036	0.0000	0.0000	1.0000	0.0000
q-037	0.0000	0.0000	0.5000	0.0000
q-038	0.4693	0.3333	0.3333	1.0000
q-039	0.8396	1.0000	1.0000	1.0000
q-040	1.0000	1.0000	1.0000	1.0000
q-041	0.2346	0.3333	0.6667	0.3333
q-042	0.2961	0.3333	1.0000	0.5000
q-043	0.0000	0.0000	0.3333	0.0000
q-044	0.4693	0.3333	1.0000	1.0000
q-045	0.5087	0.4000	0.8000	1.0000
q-046	0.0000	0.0000	0.0000	0.0000
q-047	0.1089	0.1250	0.5000	0.2500
q-048	0.0979	0.1250	0.2500	0.2000
q-049	0.7227	0.6000	1.0000	1.0000
q-050	0.1596	0.1250	0.2500	0.5000
q-051	0.1546	0.1429	0.2857	0.2000
q-052	0.4317	0.6667	1.0000	0.5000
q-053	0.0000	0.0000	0.2500	0.0000
q-054	0.5438	1.0000	1.0000	0.3333
q-055	0.2816	0.3333	0.8333	0.3333
q-056	0.0000	0.0000	0.7813	0.0000
q-057	0.0948	0.0179	0.0714	0.2500
q-058	0.1389	0.0417	0.2083	0.5000
q-059	0.0948	0.0278	0.2778	0.2500
q-060	0.0948	0.0278	0.2778	0.2500
