query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.9512	1.0000	1.0000	1.0000			1.0000
q-002	0.7039	0.6667	0.6667	0.6667			1.0000
q-003	0.5574	1.0000	1.0000	1.0000			0.3333
q-004	0.4582	0.6000	1.0000	1.0000			0.5000
q-005	0.4825	1.0000	1.0000	1.0000			0.2500
q-006	0.8928	1.0000	1.0000	1.0000			1.0000
q-007	0.6797	1.0000	1.0000	1.0000			0.5000
q-008	0.6309	1.0000	1.0000	1.0000			0.5000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.7328	1.0000	1.0000	1.0000			0.5000
q-011	0.9675	1.0000	1.0000	1.0000			1.0000
q-012	0.3152	0.6667	1.0000	1.0000			0.1667
q-013	0.4632	0.6667	0.6667	1.0000			0.5000
q-014	0.2346	0.3333	0.6667	0.6667			0.3333
q-015	0.0000	0.0000	0.5000	1.0000			0.0000
q-016	0.8503	1.0000	1.0000	1.0000			1.0000
q-017	0.7904	1.0000	1.0000	1.0000			1.0000
q-018	0.5585	0.5000	0.5000	1.0000			1.0000
q-019	0.4693	0.3333	0.6667	0.6667			1.0000
q-020	0.3066	0.5000	0.5000	0.5000			0.3333
q-021	0.0000	0.0000	0.2500	0.5000			0.0000
q-022	0.5024	0.7500	1.0000	1.0000			0.3333
q-023	0.4018	0.6667	1.0000	1.0000			0.3333
q-024	0.0000	0.0000	0.0000	0.0000			0.0000
q-025	0.0000	0.0000	0.0000	0.0000			0.0000
q-026	0.2676	0.4000	0.4000	0.8000			0.3333
q-027	0.1681	0.2500	0.2500	1.0000			0.2500
q-028	0.1391	0.2500	0.7500	1.0000			0.1667
q-029	0.4428	0.7500	1.0000	1.0000			0.3333
q-030	1.0000	1.0000	1.0000	1.0000			1.0000
q-031	0.3633	0.5000	0.7500	1.0000			0.3333
q-032	0.2044	0.5000	1.0000	1.0000			0.1429
q-033	0.4693	0.3333	0.3333	0.6667			1.0000
q-034	0.0000	0.0000	0.0000	1.0000			0.0000
q-035	0.0000	0.0000	0.0000	1.0000			0.0000
q-036	0.0000	0.0000	0.5000	1.0000			0.0000
q-037	0.0000	0.0000	0.0000	0.5000			0.0000
q-038	0.2961	0.3333	0.3333	0.3333			0.5000
q-039	0.8452	1.0000	1.0000	1.0000			1.0000
q-040	1.0000	1.0000	1.0000	1.0000			1.0000
q-041	0.4693	0.3333	0.6667	0.6667			1.0000
q-042	0.2961	0.3333	0.6667	1.0000			0.5000
q-043	0.0000	0.0000	0.3333	0.6667			0.0000
q-044	0.4693	0.3333	0.3333	1.0000			1.0000
q-045	0.6157	0.6000	0.6000	0.8000			1.0000
q-046	0.0000	0.0000	0.0000	0.1667			0.0000
q-047	0.2063	0.2500	0.2500	0.5000			0.3333
q-048	0.1089	0.1250	0.1250	0.2500			0.2500
q-049	0.8297	0.8000	1.0000	1.0000			1.0000
q-050	0.1596	0.1250	0.2500	0.2500			0.5000
q-051	0.1396	0.1429	0.2143	0.2857			0.1429
q-052	0.4317	0.6667	1.0000	1.0000			0.5000
q-053	0.0000	0.0000	0.0000	0.2500			0.0000
q-054	0.5706	1.0000	1.0000	1.0000			0.3333
q-055	0.2474	0.3333	0.3333	0.8333			0.2500
q-056	0.0000	0.0000	0.1563	0.8438			0.0000
q-057	0.0851	0.0179	0.0357	0.0714			0.2000
q-058	0.1795	0.0833	0.1250	0.2917			0.3333
q-059	0.1100	0.0278	0.0833	0.3333			0.3333
q-060	0.1100	0.0278	0.0833	0.3333			0.3333
